ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um Ha/100um
86 308.8241 60.1527 7.3205e+36 3.9322e+35 7.8221e+35 9.8702e+34 0.993 0.2044 2.3118e-02 4.3984e-03 6.4601e-03 1.7946e-02 4.0686e-03
87 308.8247 60.1531 7.7691e+36 1.135e+36 6.1592e+35 1.1908e+35 0.5214 0.4275 2.4490e-02 5.3203e-03 8.8854e-03 2.0792e-02 4.5405e-03
88 308.8378 60.1638 9.5853e+36 5.0912e+35 1.9287e+36 1.3681e+35 1.9928 0.0859 4.6777e-02 7.3922e-03 8.5297e-03 3.1023e-02 6.3509e-03
89 308.8383 60.1642 3.6203e+37 1.8816e+36 5.0457e+36 4.4193e+35 1.4127 0.158 9.0005e-02 1.4172e-02 1.2936e-02 6.2929e-02 1.3401e-02
90 308.8388 60.1646 4.7403e+37 2.5103e+36 5.7167e+36 5.0736e+35 1.1842 0.1734 1.1174e-01 1.8876e-02 1.9499e-02 8.5800e-02 1.8643e-02
91 308.8394 60.165 2.346e+37 1.2511e+36 2.7363e+36 2.4219e+35 1.1313 0.1685 7.2658e-02 1.4070e-02 2.6201e-02 6.7150e-02 1.3699e-02
92 308.8233 60.1529 9.4145e+36 5.0034e+35 1.4815e+36 1.1984e+35 1.6045 0.1093 3.1647e-02 6.4368e-03 9.7068e-03 2.5617e-02 5.6830e-03
93 308.8238 60.1534 1.0624e+37 9.4688e+35 1.0516e+36 1.8908e+35 0.872 0.4539 3.6202e-02 8.0864e-03 1.5183e-02 3.0364e-02 6.7901e-03
94 308.8369 60.164 1.0019e+37 5.6319e+35 1.2752e+36 1.3874e+35 1.2694 0.191 4.9098e-02 7.8873e-03 8.7280e-03 3.2401e-02 6.6033e-03
95 308.8375 60.1645 3.0821e+37 1.6137e+36 3.694e+36 3.3097e+35 1.1744 0.169 8.3912e-02 1.3383e-02 1.2459e-02 5.7156e-02 1.2278e-02
96 308.838 60.1649 3.5886e+37 1.9173e+36 3.4152e+36 2.8196e+35 0.8101 0.1563 9.4555e-02 1.6085e-02 1.8806e-02 6.9649e-02 1.5397e-02
97 308.8385 60.1653 1.612e+37 8.5874e+35 5.2509e+36 5.3365e+35 2.7539 0.212 6.0219e-02 1.1685e-02 2.5372e-02 5.3642e-02 1.0975e-02
98 308.8224 60.1532 9.4336e+36 5.0132e+35 1.0314e+36 1.0527e+35 1.0293 0.1549 4.2074e-02 8.7885e-03 1.4155e-02 3.3504e-02 7.4672e-03
99 308.823 60.1536 1.0494e+37 5.5592e+35 1.2338e+36 1.1145e+35 1.1441 0.1299 4.7287e-02 1.0431e-02 2.1310e-02 3.8628e-02 8.7190e-03
100 308.835 60.1634 7.7403e+36 4.1626e+35 8.7087e+35 1.2154e+35 1.0745 0.2959 4.8177e-02 8.4419e-03 1.1120e-02 2.8860e-02 5.8648e-03
101 308.8361 60.1643 8.8351e+36 4.675e+35 6.3709e+35 1.1673e+35 0.3717 0.4706 4.8665e-02 8.2599e-03 1.0236e-02 3.2106e-02 6.5894e-03
102 308.8366 60.1647 1.4087e+37 7.5459e+35 1.1184e+36 1.2766e+35 0.5238 0.2397 5.8336e-02 9.8280e-03 1.1424e-02 3.9503e-02 8.5315e-03
103 308.8371 60.1651 1.4085e+37 7.598e+35 1.1683e+36 1.2337e+35 0.5929 0.2121 5.7461e-02 1.0231e-02 1.6170e-02 4.3533e-02 9.2556e-03
104 308.8336 60.1633 1.0059e+37 5.3246e+35 1.3474e+36 1.5654e+35 1.3501 0.2468 5.6831e-02 9.4189e-03 9.2107e-03 3.0275e-02 6.6092e-03
105 308.8342 60.1637 1.269e+37 6.6548e+35 1.1426e+36 1.6035e+35 0.7225 0.3212 6.3266e-02 1.1195e-02 1.2614e-02 3.6499e-02 7.7715e-03
