ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Sigma_star,LBol,L_Edd,Mass_old,Mass_new,Mass_g,Momentum
30,202.53,47.2083,1.3527000000000002e+37,7.0997e+35,2.3423e+36,1.5080000000000001e+35,1.682,0.0792,0.060266999999999994,0.009335799999999998,0.0081389,0.025319,111.13275821751114,795.0066004356796,0.7361511538278209,257.65290383973735,1.8683701657458566e+39,208475.2895534105,53962.697991933084,340.4351112571601,65868.54511522192,1.1154841318011333
31,202.5292,47.1933,3.766e+37,1.9562000000000002e+36,2.2686e+36,3.5702e+35,0.013999999999999999,0.2785,0.089811,0.017006,0.013093,0.048456,116.77382238347843,632.9991185919943,1.1917460489108045,417.11111711878164,5.201657458563536e+39,3060513.3094606902,87359.54808473308,947.7922887517301,548.2518618389458,0.05618318422267233
32,202.5292,47.1939,2.8680000000000007e+37,1.4918e+36,2.3795e+36,3.6460000000000004e+35,0.5197,0.253,0.067651,0.010187,0.010911,0.035706,116.78295686387798,639.4790853672662,1.0006615836177553,350.23155426621435,3.961325966850829e+39,232633.1444623965,73352.3251958716,721.7918970100801,20351.892328407157,0.7854813923818136
33,202.5292,47.1944,1.3692e+37,7.1842e+35,1.9428e+36,1.5210000000000001e+35,1.3674,0.1067,0.038346,0.004852899999999999,0.0074782,0.020731,116.79056893099244,644.8790576895915,0.8507711946680816,297.76991813382864,1.891160220994475e+39,211542.07211854894,62364.785817951335,344.5876797023017,53548.542562755334,1.0635101423000728
34,202.5292,47.2072,2.0209e+37,1.0542000000000001e+36,2.5090000000000002e+36,1.656e+35,1.1564,0.0713,0.078649,0.013505000000000001,0.0079149,0.032563999999999996,116.98543785327105,783.1183547415642,1.035940211630383,362.5790740706341,2.791298342541437e+39,230870.4438150078,75938.38369637958,508.60154974465513,45285.60378789694,1.0203622366720757
35,202.5292,47.2077,1.8815000000000001e+37,9.8229e+35,2.877e+36,1.9279e+35,1.4856,0.0787,0.07501000000000001,0.011286,0.007149200000000001,0.030364999999999996,116.99304992100052,788.518327602004,1.0867309151111708,380.35582028890985,2.5987569060773486e+39,247393.15859585887,79661.53671798392,473.5186381535794,58177.354710567,1.0819054774619246
36,202.5283,47.19,2.5093e+37,1.3063000000000001e+36,1.7893000000000002e+36,1.8802e+35,0.2804,0.1362,0.14514000000000002,0.02706,0.017965000000000002,0.06312100000000001,123.32896465359812,597.3500281559152,0.6133889421181089,214.68612974133808,3.4658839779005534e+39,187577.47821930345,44963.75786820086,631.5175757208488,10980.7015756886,0.5836698040310138
37,202.5284,47.1933,3.377e+37,1.7549e+36,2.3556e+36,1.9218e+35,0.2457,0.0968,0.087039,0.014011000000000001,0.010718,0.045606,122.64490791605095,632.9908721383794,1.1358940019415027,397.56290067952597,4.664364640883978e+39,336355.4835527231,83265.37920764317,849.8923417723292,9621.8201752735,0.5392980113752679
38,202.5284,47.1939,2.7848e+37,1.4488000000000002e+36,2.4099e+36,2.2181e+35,0.5863,0.1201,0.07091499999999999,0.0091834,0.011505,0.037635,122.65397602276892,639.4708389629865,0.9457623233328551,331.01681316649933,3.846408839779006e+39,219157.77028359263,69327.99923057196,700.8528852139717,22960.00475686957,0.8210883529919019
39,202.5284,47.1944,1.2745e+37,6.6972e+35,1.0853000000000001e+36,1.6460000000000001e+35,0.5609,0.3021,0.039035,0.0043577,0.009614399999999999,0.0218,122.66153277829329,644.8708113264622,0.7483896237677773,261.93636831872203,1.7603591160220997e+39,185702.37160739172,54859.82469453916,320.7544535353372,21965.319236104624,0.8039170635281835
40,202.5284,47.2072,2.1878e+37,1.1403000000000001e+36,2.2642000000000002e+36,1.8383e+35,0.8689,0.0954,0.093457,0.013724,0.010783,0.038225,122.854985727873,783.1101094309407,0.9833036681767484,344.15628386186194,3.02182320441989e+39,219341.15463865726,72079.92353781259,550.6054087443001,34026.86019656143,0.9409936207729622
41,202.5284,47.2077,1.1907e+37,6.2671e+35,1.8988e+36,1.4302e+35,1.5519999999999998,0.1008,0.060198,0.0076631,0.007376899999999999,0.024628999999999998,122.86254248416992,788.510082332516,0.820689531445902,287.2413360060657,1.6446132596685083e+39,213091.96474308125,60159.684733598224,299.6644392503146,60777.63496957456,1.1009913499608688
42,202.5275,47.19,2.1985e+37,1.1458e+36,1.6202e+36,1.6109e+35,0.3326,0.1294,0.12573,0.020047,0.016130000000000002,0.055149000000000004,129.20041524758443,597.3418490910605,0.6547810303076597,229.1733606076809,3.0366022099447514e+39,187050.60240828068,47997.95640557166,553.2982864632709,13024.897803402388,0.6370438010560535
43,202.5267,47.1883,1.3721000000000001e+37,7.1987e+35,8.7184e+35,1.2771e+35,0.0982,0.2135,0.10727,0.022039,0.011734999999999999,0.042395999999999996,135.04657250340009,578.973824010815,0.6652828373683506,232.84899307892272,1.895165745856353e+39,348704.26861400844,48767.77907016828,345.31752506538726,3845.595202327464,0.29389746551931434
44,202.5234,47.1727,1.54e+37,8.0632e+35,1.2519e+36,1.9235e+35,0.4875,0.2201,0.07889700000000001,0.014384000000000001,0.0085231,0.035192,159.04209698982862,410.4618202134065,0.8828027861689076,308.9809751591177,2.12707182320442e+39,214383.18288939056,64712.824110592956,387.5730548798895,19090.913046177582,0.759962932414371
45,202.5226,47.1728,1.3233e+37,6.9484e+35,9.0543e+35,1.4846e+35,0.2153,0.2807,0.06379800000000001,0.012458,0.0091918,0.030187000000000002,164.9168925498416,411.53400272111793,0.7343811939503273,257.0334178826146,1.8277624309392258e+39,242979.74126691496,53832.95315647315,333.03598930036213,8431.330418137502,0.4985417431453555
46,202.5226,47.175,1.4226000000000002e+37,7.4581e+35,1.9366e+36,2.8464e+35,1.3021,0.2486,0.046631,0.0090071,0.0061772,0.021341,164.94837784164253,435.29388373681365,1.1182145476090652,391.37509166317284,1.9649171270718238e+39,245164.81385285448,81969.40751780372,358.0269012156694,50991.339235749394,1.0523229113795198
47,202.5226,47.1755,1.6459e+37,8.6081e+35,2.5435e+36,3.0698e+35,1.5022,0.1737,0.052517999999999995,0.0093065,0.006664399999999999,0.024591,164.95553358951213,440.6938566324021,1.059964669992124,370.9876344972433,2.2733425414364643e+39,243750.89164137404,77699.46847394633,414.2249941732534,58827.42477531889,1.0871851534544412
48,202.5218,47.1755,1.2185e+37,6.4098e+35,2.0816000000000002e+36,1.8047e+35,1.6607,0.1121,0.036538,0.0063899,0.0051239,0.017787999999999998,170.82858826429572,440.686104908377,1.0266272533872698,359.31953868554444,1.683011049723757e+39,243885.21851092245,75255.70820171866,306.6608879033412,65034.41906828124,1.1155929897390595
49,202.5219,47.2172,1.1133e+37,5.8698e+35,9.1302e+35,1.3241e+35,0.5014,0.2422,0.027141000000000002,0.0070834,0.0045893,0.017147,170.68720946756832,891.0448172600162,1.1732918969665136,410.6521639382798,1.537707182320442e+39,264974.05671197205,86006.78809395008,280.1851181803773,19635.248823289105,0.7735699381307359
