ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star,L_Edd,Mass_old,Mass_new,Mass_g,Momentum
577,308.743,60.1422,1.1435e+37,6.0613e+35,8.7201e+35,3.0147e+35,0.4602,1.6026,0.030173000000000002,0.004691,0.0082571,0.020035,0.0042609,577,308.743,60.1422,422.7617151838642,512.7486134671661,1.59159887351511,2.6078058638850874,1.5794198895027624e+39,557.0596057302886,4616336562.719654,116670.29099826007,287.7855767890608,18021.821915591638,0.7350157411433165
578,308.7482,60.1465,2.453e+37,1.2883e+36,1.8883000000000002e+36,4.4138e+35,0.475,1.1173,0.043623,0.0069478000000000005,0.0082706,0.031022000000000008,0.0069529,578,308.7482,60.1465,423.1637847213093,572.976385000345,2.225767037495593,2.4527415248291047,3.388121546961326e+39,779.0184631234576,6078045241.440905,163157.24538396436,617.3485088443955,18601.402455249947,0.754273337611607
579,308.7487,60.1469,2.837e+37,1.489e+36,2.7152e+36,4.7528e+35,0.8190000000000001,0.5012,0.046733,0.007116,0.008800299999999999,0.03115,0.0072117000000000014,579,308.7487,60.1469,423.1186335092932,578.6295710832866,2.1079142014299883,2.4494524719305715,3.918508287292817e+39,737.7699705004959,5111339880.854804,154518.1812909011,713.9901017495106,32072.733917578335,0.921169177415368
580,308.7493,60.1473,2.0834e+37,1.0954e+36,2.5802e+36,3.5664e+35,1.2262,0.3371,0.03903,0.0058516,0.007613600000000002,0.024936,0.0058576,580,308.7493,60.1473,422.56389069358596,584.5942555074796,1.8882873044318005,2.4543616642289985,2.8776243093922656e+39,660.9005565511302,4528914740.283354,138418.6888809624,524.330975673222,48019.03092763681,1.0377298888117799
581,308.7498,60.1478,2.3742e+37,1.2472000000000001e+36,2.813e+36,4.6095e+35,1.1562,0.4371,0.040152,0.0060739,0.007432300000000002,0.025024,0.0059352,581,308.7498,60.1478,423.1447268056762,591.2712926237425,2.298168452974201,2.4471657821771924,3.279281767955802e+39,804.3589585409703,5283399924.608229,168464.54633342996,597.5168486336585,45277.77161844208,1.019798604197301
582,308.7503,60.1482,2.1845e+37,1.1482000000000001e+36,2.0057e+36,3.2953e+35,0.7534,0.4411,0.038244,0.006049499999999999,0.0078111000000000005,0.023566,0.0057067,582,308.7503,60.1482,423.09981325568697,596.9244182361856,1.572923562562279,2.4498094499328467,3.017265193370166e+39,550.5232468967977,4094203030.9569573,115301.3192054253,549.7748950552719,29503.78233639013,0.8924527621603513
583,308.7508,60.1486,1.1391e+37,6.0386e+35,8.8038e+35,2.965e+35,0.4813,2.4339,0.026489999999999996,0.0046115,0.0070065,0.016715,0.0041362,583,308.7508,60.1486,423.05497349079127,602.5775252476724,1.2138639314638882,2.454275824218926,1.5733425414364642e+39,424.8523760123608,3618382455.2652354,88980.87355604007,286.67822520368975,18848.115793077475,0.7511024395318994
584,308.7608,60.1567,1.5069e+37,7.9488e+35,8.692e+35,2.4353e+35,0.0191,1.3730000000000002,0.045224,0.008352799999999999,0.0088638,0.028007,0.006760600000000001,584,308.7608,60.1567,422.79967478423856,716.6595430284116,1.1527420117417573,2.889183904731061,2.081353591160221e+39,403.4597041096151,30217641030.218212,84500.40283001856,379.24275090812046,747.972182937419,0.07123252041913468
585,308.7613,60.1572,1.3722e+37,7.2486e+35,2.1067e+36,3.4767e+35,1.5656,0.4315,0.041746,0.007807899999999999,0.007065300000000002,0.026044,0.0063479,585,308.7613,60.1572,423.3824017124418,723.3360338805728,1.3310880213459222,2.9263797365262807,1.8953038674033148e+39,465.88080747107284,3632269411.594821,97573.84814664022,345.342692146873,61310.22249250384,1.1019712111993032
586,308.7692,60.1636,2.4848e+37,1.3015000000000001e+36,4.4909e+36,2.5436e+35,1.8233,0.0414,0.036492000000000004,0.006673,0.008200200000000001,0.027811000000000002,0.0065983000000000005,586,308.7692,60.1636,423.2093586048193,813.4652971809078,1.4869614790000427,3.627435811721333,3.432044198895028e+39,520.4365176500148,4008288164.346339,108999.96936727609,625.3516407568504,71401.97283506786,1.135298672746047
587,308.7697,60.163999999999994,1.9966000000000002e+37,1.0473e+36,3.2367e+36,1.9421e+35,1.6514,0.0532,0.031264,0.0059538,0.0076333,0.023981,0.0058847000000000005,587,308.7697,60.163999999999994,423.1673296257266,819.1176877341121,1.380296442457434,3.6774941991099137,2.757734806629834e+39,483.10375486010184,3759770025.065663,101181.01381267601,502.48594894362816,64670.223188631084,1.1122342147690467
588,308.7881,60.1789,7.5471e+36,4.0476e+35,2.3091e+36,1.5257e+35,2.6548,0.0753,0.032322000000000004,0.005525100000000001,0.0060244,0.020191,0.0045123,588,308.7881,60.1789,422.7995474045526,1028.9550648971804,1.3282748174198278,5.779664845861131,1.0424171270718233e+39,464.8961860969397,4159204867.158278,97367.62952827061,189.93848068078017,103964.21734357382,1.2179702955784186
589,308.7886,60.1793,1.6578e+37,8.7105e+35,2.4727e+36,1.5964e+35,1.5199,0.0672,0.049007,0.0085095,0.01012,0.031856999999999996,0.0070155,589,308.7886,60.1793,422.7603214746106,1034.6067435880063,1.3313671359356911,5.840606143466027,2.2897790055248618e+39,465.9784975774919,3614504930.4850745,97594.30831468386,417.2198768700525,59520.57177207241,1.0955829074942567
590,308.7891,60.1798,1.0086000000000001e+37,6.315e+35,7.3221e+35,1.1626e+35,0.3824,0.2434,0.043657999999999995,0.0080164,0.011568,0.029789,0.006489,590,308.7891,60.1798,423.34760978438277,1041.2819196840421,0.9151929860830312,5.910504253453813,1.3930939226519338e+39,320.31754512906093,3020951690.5025873,67087.14977289166,253.83518386484195,14975.107997658066,0.684961207067527
591,308.7896,60.1802,2.8107e+36,4.5170000000000004e+35,4.2692e+35,9.8012e+34,1.5486,0.3525,0.034405,0.0069735,0.010731000000000001,0.024325,0.0054058,591,308.7896,60.1802,423.3085391788066,1046.9335564248722,0.7224602756557398,5.9718210093540725,3.882182320441989e+38,252.86109647950886,2604030829.6978693,52959.10420524566,70.73711593187699,60644.48808884225,1.0973401924696455
