ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star
1457,308.6548,60.1432,4.0769e+37,2.1361e+36,4.8826e+36,4.422e+35,1.1732,0.1695,0.017902,0.0034515,0.0074302,0.028649,0.0046042,1457,308.6548,60.1432,878.8091677212752,248.53868764143206,1.5097349450538928,4.55533071713805,5.631077348066299e+39,528.4072307688625
1458,308.6553,60.1437,6.9879e+37,3.6602000000000005e+36,1.7652e+37,1.6764000000000002e+36,2.3521,0.1884,0.026676,0.004783699999999999,0.00772,0.041546,0.0066331,1458,308.6553,60.1437,879.3801332684807,255.2167439431112,3.3440654816840114,4.506219229866081,9.651795580110498e+39,1170.422918589404
1459,308.6559,60.1441,3.598e+37,1.8867e+36,9.1773e+36,7.3961e+35,2.3675,0.1446,0.014603,0.0027619,0.0060165,0.023362,0.0036807,1459,308.6559,60.1441,878.8166594363566,261.18082080798257,1.4899874306326786,4.454463525223861,4.9696132596685086e+39,521.4956007214375
1460,308.6825,60.1659,7.535e+36,4.0644e+35,8.5216e+35,1.3888e+35,1.0827,0.3959,0.038858,0.007262899999999998,0.0069959,0.02098,0.0051942,1460,308.6825,60.1659,879.3358662818346,567.2345523801913,0.8963752178380044,3.4022548668974246,1.0407458563535911e+39,313.73132624330157
1461,308.6967,60.1774,1.0428e+37,9.1758e+35,1.5187e+36,1.8356e+35,1.4822,0.3241,0.053338,0.010138,0.009513,0.034641000000000005,0.0079856,1461,308.6967,60.1774,878.8403463158362,729.1845622396927,0.7697115540865451,4.2181322158677546,1.4403314917127072e+39,269.3990439302908
1462,308.6972,60.1778,8.1726e+36,8.0971e+35,9.6924e+35,1.3043e+35,1.1577,0.3745,0.045704,0.0086129,0.0090442,0.02954,0.0067964,1462,308.6972,60.1778,878.7931840569768,734.8362499886107,0.7311163849017399,4.2591686994503934,1.1288121546961326e+39,255.89073471560897
1463,308.6977,60.1782,1.0026e+37,1.0212e+36,9.0148e+35,1.098e+35,0.7203,0.2966,0.044142,0.008075399999999998,0.008868000000000001,0.027339,0.006368899999999999,1463,308.6977,60.1782,878.7460956095529,740.4879191910602,0.7324016780332986,4.300735747605359,1.3848066298342542e+39,256.34058731165453
1464,308.6982,60.1787,1.1137e+37,7.301000000000001e+35,9.0212e+35,1.0759e+35,0.5555,0.2166,0.039399,0.0069967,0.006947,0.023318,0.005496899999999999,1464,308.6982,60.1787,879.3241122783452,747.1639467203518,0.724934513084817,4.357520424020377,1.538259668508287e+39,253.72707957968598
1465,308.7019,60.1817,2.0129e+37,1.0586e+36,1.0288e+37,1.1789e+36,3.4655,0.2519,0.041634,0.0067994,0.0058383,0.031039,0.0067866,1465,308.7019,60.1817,879.2285909074513,789.3952869279158,1.7821479074355375,4.69448311047061,2.7802486187845304e+39,623.7517676024381
1466,308.7024,60.1821,1.6737e+37,8.8176e+35,8.4967e+36,7.9071e+35,3.4547,0.1838,0.037596,0.0059223,0.0059982,0.02916,0.0060988,1466,308.7024,60.1821,879.1822071456187,795.046775172405,1.5392406089167645,4.741436461329776,2.3117403314917125e+39,538.7342131208676
1467,308.6482,60.1388,1.0359e+37,5.5046e+35,6.68e+35,1.5172e+35,0.1952,0.6876,0.023433,0.0036985,0.0057874,0.017006999999999998,0.0032586,1467,308.6482,60.1388,885.0144206949533,182.93241427911937,1.2898476196849054,5.160103635333039,1.4308011049723756e+39,451.4466668897169
1468,308.6487,60.1392,2.4816000000000003e+37,1.3033e+36,2.4488e+36,2.5527e+35,0.8672,0.2155,0.035184,0.0052869,0.0081195,0.025504,0.0049088000000000005,1468,308.6487,60.1392,884.9601142831227,188.58589109447726,1.4168966955343396,5.109586428618775,3.427624309392266e+39,495.91384343701884
1469,308.6493,60.1397,2.5155000000000004e+37,1.3209e+36,2.4645e+36,2.7442e+35,0.856,0.2375,0.037068,0.0055742,0.0093535,0.026753,0.0051782,1469,308.6493,60.1397,885.0198985880099,195.57500666709598,1.2768770838950103,5.048540911896965,3.474447513812155e+39,446.9069793632536
1470,308.6498,60.1401,1.2471e+37,6.5989e+35,1.4598e+36,1.6070000000000003e+35,1.137,0.2295,0.025696,0.0040576,0.0070486,0.018888,0.0035782,1470,308.6498,60.1401,884.9657561106999,201.22844175581062,1.0386860668733489,4.9989727661709935,1.7225138121546963e+39,363.5401234056721
1471,308.701,60.1819,1.7577e+37,9.255e+35,3.441e+36,6.7369e+35,1.9495,0.4617,0.039561,0.006955800000000001,0.0063162,0.029942,0.0065857,1471,308.701,60.1819,885.0629553917688,788.6465852249698,1.3725397338485033,4.749340626642772,2.4277624309392266e+39,480.3889068469761
1472,308.7016,60.1823,1.0871e+37,5.7695e+35,3.78e+36,3.1352e+35,2.8569,0.1523,0.030071,0.0050348,0.0052548,0.023061,0.0049954,1472,308.7016,60.1823,884.5071626921086,794.6088809841274,1.1866494540633574,4.793079365039851,1.5015193370165744e+39,415.3273089221751
1473,308.6474,60.1391,3.0215e+36,1.8127e+35,9.7209e+35,1.5697e+35,2.7342,0.4049,0.018278,0.0030603,0.004642,0.012898,0.0024465,1473,308.6474,60.1391,890.9693522253526,183.52047132225124,1.1627412491939115,5.196216034833948,4.173342541436464e+38,406.95943721786904
1474,308.6479,60.1395,7.3471e+36,3.955e+35,8.5017e+35,1.1698e+35,1.1189,0.2963,0.02201,0.0035023000000000003,0.0053885,0.015422,0.0029471,1474,308.6479,60.1395,890.9150005984503,189.17393332035846,1.1678013662505728,5.146342168299552,1.014792817679558e+39,408.7304781877005
1475,308.7002,60.1822,1.0517e+37,5.5861e+35,8.1765e+35,1.4634e+35,0.4907,0.4342,0.031401,0.0063971,0.008549700000000002,0.024702,0.0054588,1475,308.7002,60.1822,891.0130074084242,789.2331467678273,0.6174158046634937,4.816707201811316,1.4526243093922652e+39,216.0955316322228
1476,308.7007,60.1826,9.1541e+36,4.8826e+35,9.7608e+35,1.2365e+35,0.9897,0.273,0.031247000000000007,0.0059628,0.0088364,0.025288,0.0054108,1476,308.7007,60.1826,890.9665169750187,794.8846101893048,0.5993828430480439,4.862831468693863,1.2643784530386741e+39,209.78399506681538
1477,308.646,60.1389,4.0195e+36,2.2862e+35,7.4102e+35,1.4351e+35,1.8546,0.5188,0.02175,0.0039536,0.0051519,0.014117,0.0027508000000000003,1477,308.646,60.1389,896.8647687487363,177.11948796584136,1.1014686723459153,5.293915225012176,5.551795580110497e+38,385.51403532107037
