ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Dist_to_center,H_old,L_Bol,F_Bol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Sigma_new,Mass_old,Mass_g,Mass_tot,E_dot_Wind,L_Edd,F_Edd,tau_RP,v_inf,R_UV,velocity_no_aging,distance_no_aging,time_no_aging,velocity_aging,distance_aging,time_aging
16,202.5308,47.1916,1.238e+37,6.5098e+35,8.8101e+35,2.3271e+35,0.2773,0.5057,0.067012,0.017905,0.021217,0.045251,105.0053941868258,614.655886398153,0.7115289708353133,8844.7691214058,3.739035275158671e+21,7.59520016007076e+38,0.015528005365652329,0.05198496700086604,0.0011558163596844485,0.618740126407724,0.1791681997380465,2.751230801867353e+35,5.6247532327240485e-06,8.55784840403789e+35,1.3832177226437605e+37,1.496308514702813e+37,718089.9221927237,7.026194960007478e+38,0.037342378747893125,0.5851925556411508,72389.04551936375,2.2385058084414075e+19,0.9419327624327268,40.17357163011141,54527737.455839686,0.012312508286085669,10.010591829135352,2247140.711274382
17,202.5308,47.1933,2.1579e+37,1.1248000000000001e+36,2.1877000000000002e+36,3.0016e+35,0.8364,0.2581,0.06,0.01588,0.0096924,0.035693,105.03165133215134,633.015791924259,1.0985671816434055,8688.20080375861,3.6728476274519274e+21,1.3238838792743693e+39,0.027066141178143103,0.08026228819695935,0.003486205565236469,0.9757349448623924,0.5404121249942377,4.795541960702391e+35,9.804244750319242e-06,1.3451013364981038e+36,4.172099903423157e+37,4.354565456679992e+37,1251669.0170433589,3.9108802180845874e+39,0.18727349896029977,1.7650741202245173,0.0,3.887678142736874e+19,0.0,0.0,0.0,0.0,0.0,0.0
18,202.5308,47.1939,1.5023e+37,7.8677e+35,3.3236000000000005e+36,4.67e+35,2.0691,0.2174,0.041996,0.0087973,0.0058854,0.023016,105.04091856002134,639.4957586006032,1.4416868776754943,8633.956855278051,3.649916555532612e+21,9.216695638509129e+38,0.018843071454619945,0.10533089269136293,0.008624232346999975,1.1625134007918818,1.3368803536891167,3.338589687920294e+35,6.8255789834582686e-06,1.7763118293481154e+36,1.03210089791641e+38,1.0532026058978115e+38,871394.5800566467,1.9639522147049652e+40,0.8877695955874023,4.3664692278294455,0.0,6.114684184243307e+19,0.0,0.0,0.0,0.0,0.0,0.0
19,202.5308,47.2077,1.7143e+37,8.962e+35,1.8463e+36,1.5638e+35,0.9318,0.1441,0.070321,0.013176,0.011216,0.031504,105.25406480829878,788.5349985591795,0.7659195839313716,7559.388478833336,3.195653814476668e+21,1.0517327652996205e+39,0.021502148302373007,0.05595844404261943,0.003883843072318677,1.0072718557336262,0.6020516715323178,3.809721295348305e+35,7.788783898916667e-06,1.0778350021217267e+36,4.647970695850905e+37,4.79385140901656e+37,994363.1289297139,4.64631584234221e+39,0.2147807674641682,1.9663989302070835,0.0,4.1034074621127836e+19,0.0,0.0,0.0,0.0,0.0,0.0
20,202.5308,47.2083,1.4044e+37,7.3652e+35,1.9477e+36,1.3915e+35,1.3313,0.0949,0.063902,0.010966,0.010237,0.028829,105.26333203722665,795.0149659343091,0.6860776288135734,7521.360139771575,3.179577724840422e+21,8.616073590309672e+38,0.017615129834832093,0.050125141506472015,0.005549002234575933,1.0881388939475891,0.8601753491210288,3.1210246673202827e+35,6.38077822297064e-06,9.703592378309365e+35,6.640741991185136e+37,6.768988161641433e+37,814608.6322515841,8.676816008306357e+39,0.3872388208994564,2.8094729510460295,0.0,4.904799477290728e+19,0.0,0.0,0.0,0.0,0.0,0.0
21,202.5308,47.2089,1.0003e+37,5.2934e+35,1.5969e+36,1.3682999999999999e+35,1.5535,0.1282,0.055264,0.0090006,0.009375,0.025648,105.27259926593314,801.4949333563758,0.6492672464047384,7484.157787601094,3.1638508126762985e+21,6.1368971891104846e+38,0.012546578164185801,0.04743574720458948,0.0064751558412181436,1.1181622819763557,1.0037425109738742,2.222985598633209e+35,4.544782438363381e-06,9.228606492053883e+35,7.7491119081394965e+37,7.863627829046367e+37,580214.3369704213,1.1446565401709866e+40,0.5052787076875042,3.2783867118230368,0.0,5.298328966969779e+19,0.0,0.0,0.0,0.0,0.0,0.0
22,202.5309,47.2205,1.2233e+37,6.449e+35,1.6131e+36,1.5778e+35,1.2518,0.1298,0.021201,0.0049005,0.0049867,0.017003,104.7182561341736,926.7753645080948,1.1180064141410837,6958.1818690558475,2.941499896973472e+21,7.50501482699076e+38,0.015343625980454356,0.08168172970800185,0.005217637645340761,1.077863724446628,0.8088090603392954,2.7185627139938065e+35,5.557964967359715e-06,1.7092377152298936e+36,6.244182997495346e+37,6.442292396158274e+37,709563.3294170912,7.838964892067919e+39,0.3699148635843658,2.6417022760605575,0.0,4.756097668284091e+19,0.0,0.0,0.0,0.0,0.0,0.0
23,202.5309,47.2222,3.3933e+37,1.7665000000000002e+36,3.2077000000000004e+36,2.1773e+35,0.7259,0.1033,0.023442,0.0072712,0.0070015,0.027044,104.7445367953676,945.1352759623144,1.383488838151154,6910.362277113961,2.9212846557772167e+21,2.0818087805466968e+39,0.0425615352239645,0.10107787998195723,0.003025629626739781,0.9373561959765243,0.46901621417182815,7.540994733422042e+35,1.5417185092570687e-05,2.1297499939034967e+36,3.620907843011561e+37,3.9092927897361314e+37,1968250.8343914128,3.171872204457205e+39,0.16668801850561038,1.531883433609489,0.0,3.621776854949199e+19,0.0,0.0,0.0,0.0,0.0,0.0
24,202.5309,47.2227,6.1358e+37,3.1863000000000004e+36,1.1859e+37,1.2754000000000001e+36,1.8557,0.1359,0.038072,0.01081,0.0080376,0.043422,104.752266401756,950.5352500398924,2.6608587996137607,6897.924188139244,2.9160265814517403e+21,3.76434807287255e+39,0.07696020623793987,0.19440268103037495,0.007734758091115872,1.150750488130484,1.1989990200284635,1.3635704324796206e+36,2.7877512831460594e-05,4.103525630151515e+36,9.256534900504964e+37,9.803244506768077e+37,3559011.4253555043,1.6561826598132188e+40,0.8295048743130988,3.91612630906341,0.0,5.790781452409018e+19,0.0,0.0,0.0,0.0,0.0,0.0
25,202.5309,47.2233,2.3449999999999997e+37,1.225e+36,6.3379e+36,3.7271e+35,2.3853,0.0447,0.016889,0.00403,0.0050729,0.019248,104.76154192953652,957.0152190074066,1.2359340707155608,6883.984576600682,2.910133753889001e+21,1.4386707896095257e+39,0.029412901924438375,0.09029748954976953,0.009942188109467419,1.182172486220774,1.5411824985040112,5.211337827446641e+35,1.0654318522405405e-05,1.9098932983024346e+36,1.1898266259726513e+38,1.2141368967831224e+38,1360194.5618270894,2.5665718874580904e+40,1.1531768222855672,5.033753346450909,0.0,6.565303311381499e+19,0.0,0.0,0.0,0.0,0.0,0.0
