ID RA Dec highres_co lowres_co hi
216 202.506 47.2139 2.61637e+22 5.43670e+21 1.84065e+21
217 202.506 47.2144 0.00000 5.43670e+21 1.79176e+21
218 202.506 47.2150 0.00000 5.13579e+21 1.55357e+21
219 202.506 47.2155 0.00000 4.42603e+21 1.41463e+21
220 202.506 47.2189 0.00000 2.54790e+21 1.30011e+21
221 202.505 47.1855 0.00000 1.02430e+21 8.52238e+20
222 202.505 47.1950 2.75958e+21 4.23217e+21 1.35843e+21
223 202.505 47.1955 4.39613e+21 4.33410e+21 1.41599e+21
224 202.505 47.2033 4.33852e+21 3.67215e+21 1.11290e+21
225 202.505 47.2094 6.04135e+21 4.73657e+21 1.39687e+21
226 202.505 47.2100 1.01471e+22 4.97117e+21 1.56842e+21
227 202.505 47.2105 1.49379e+22 5.21300e+21 1.61169e+21
228 202.505 47.2111 1.37753e+22 5.45141e+21 1.63964e+21
229 202.505 47.2117 9.21249e+21 5.67812e+21 1.61773e+21
230 202.505 47.2133 1.52567e+22 5.87043e+21 1.70606e+21
231 202.505 47.2139 2.42438e+22 6.17955e+21 1.75661e+21
232 202.505 47.2144 0.00000 6.17955e+21 1.74292e+21
233 202.505 47.2150 0.00000 5.85149e+21 1.59728e+21
234 202.505 47.2155 0.00000 5.02165e+21 1.48894e+21
235 202.505 47.2183 0.00000 2.95074e+21 1.51679e+21
236 202.505 47.2189 0.00000 2.87665e+21 1.47763e+21
237 202.505 47.2194 0.00000 2.87665e+21 1.36628e+21
238 202.505 47.1583 NaN 1.53996e+21 1.11279e+21
239 202.505 47.1589 NaN 1.47589e+21 1.18624e+21
240 202.505 47.1950 6.15390e+21 4.38818e+21 1.38671e+21
241 202.505 47.1955 7.68944e+21 4.58879e+21 1.41779e+21
242 202.505 47.2133 9.70668e+21 6.32060e+21 1.56343e+21
243 202.505 47.2139 7.24602e+21 6.78289e+21 1.63364e+21
244 202.505 47.2144 0.00000 6.78289e+21 1.64181e+21
245 202.505 47.2150 0.00000 6.50062e+21 1.61357e+21
246 202.505 47.2155 0.00000 5.60265e+21 1.56087e+21
247 202.505 47.2161 0.00000 4.55800e+21 1.51338e+21
248 202.505 47.2178 0.00000 3.35319e+21 1.87827e+21
249 202.505 47.2183 0.00000 3.35319e+21 1.92457e+21
250 202.505 47.2189 0.00000 3.16938e+21 1.88109e+21
251 202.505 47.2194 0.00000 3.16938e+21 1.75505e+21
252 202.504 47.1583 NaN 1.48432e+21 1.09632e+21
253 202.504 47.1589 NaN 1.63742e+21 1.13886e+21
254 202.504 47.1933 7.56060e+21 2.95961e+21 1.05388e+21
255 202.504 47.1939 9.84395e+21 3.74674e+21 1.20868e+21
256 202.504 47.1944 4.88182e+21 3.74674e+21 1.27925e+21
257 202.504 47.1950 6.85082e+21 4.11936e+21 1.38202e+21
258 202.504 47.2133 1.26737e+22 6.56538e+21 1.24630e+21
259 202.504 47.2139 9.85038e+21 7.18966e+21 1.31516e+21
260 202.504 47.2144 0.00000 7.18966e+21 1.38318e+21
261 202.504 47.2150 0.00000 6.94206e+21 1.55429e+21
262 202.504 47.2155 0.00000 6.10795e+21 1.61331e+21
263 202.504 47.2161 0.00000 5.03184e+21 1.65877e+21
264 202.504 47.2167 0.00000 4.26488e+21 1.84170e+21
265 202.504 47.2172 0.00000 4.26488e+21 1.96350e+21
266 202.504 47.2178 0.00000 4.05510e+21 2.04748e+21
267 202.504 47.2183 0.00000 4.05510e+21 2.09912e+21
268 202.504 47.2189 0.00000 3.85078e+21 2.06460e+21
269 202.504 47.2217 NaN 1.61289e+21 1.14264e+21
270 202.503 47.1933 7.76793e+21 3.46181e+21 1.08177e+21
271 202.503 47.1939 1.08351e+22 4.10171e+21 1.24317e+21
272 202.503 47.1944 1.58799e+22 4.10171e+21 1.28566e+21
273 202.503 47.2144 2.34306e+21 7.30942e+21 1.26099e+21
274 202.503 47.2150 0.00000 7.14285e+21 1.48287e+21
275 202.503 47.2155 0.00000 6.30317e+21 1.58550e+21
276 202.503 47.2161 0.00000 5.48528e+21 1.67739e+21
277 202.503 47.2167 0.00000 4.85770e+21 1.92884e+21
278 202.503 47.2172 0.00000 4.85770e+21 2.07424e+21
279 202.503 47.2178 0.00000 4.87342e+21 2.17815e+21
280 202.503 47.2183 0.00000 4.87342e+21 2.23994e+21
