ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Sigma_star,LBol
11,202.5317,47.2127,1.5221e+37,7.9728e+35,1.2202000000000001e+36,1.1325e+35,0.4654,0.1398,0.05871799999999999,0.009565700000000002,0.008065300000000001,0.028641000000000003,98.72873485191805,842.5442108716005,0.8856575849959126,309.9801547485694,2.1023480662983426e+39
12,202.5317,47.2133,1.5877000000000002e+37,8.3114e+35,1.5072e+36,1.8511e+35,0.7324,0.1635,0.065384,0.010549,0.0096164,0.031715,98.73807675183008,849.0241786250357,0.7739996253740565,270.89986888091977,2.1929558011049726e+39
13,202.5317,47.2205,1.5763e+37,8.2643e+35,2.5348e+36,1.6564e+35,1.5651,0.0708,0.025236,0.005882,0.0042607,0.016956,98.85017955735657,926.7837966536536,1.2900261186255244,451.5091415189335,2.177209944751381e+39
14,202.5317,47.2222,2.4547e+37,1.2817e+36,1.8824e+36,1.6162e+35,0.3954,0.1607,0.018655,0.0065816,0.0076768999999999995,0.02139,98.87664827754669,945.1437079671105,0.807344963645837,282.57073727604296,3.3904696132596686e+39
15,202.5317,47.2227,3.7293e+37,1.9408000000000002e+36,5.4867e+36,2.9448e+35,1.4246,0.043,0.025749,0.0093669,0.0080417,0.030243,98.88443319535965,950.5436820032968,1.0958625975203322,383.5519091321163,5.1509668508287296e+39
16,202.5308,47.1916,1.238e+37,6.5098e+35,8.8101e+35,2.3271e+35,0.2773,0.5057,0.067012,0.017905,0.021217,0.045251,105.0053941868258,614.655886398153,0.7115289708353133,249.03513979235964,1.7099447513812156e+39
17,202.5308,47.1933,2.1579e+37,1.1248000000000001e+36,2.1877000000000002e+36,3.0016e+35,0.8364,0.2581,0.06,0.015880000000000002,0.009692399999999999,0.035693,105.03165133215134,633.015791924259,1.0985671816434055,384.4985135751919,2.980524861878453e+39
18,202.5308,47.1939,1.5023e+37,7.8677e+35,3.3236000000000005e+36,4.67e+35,2.0691,0.2174,0.041996,0.0087973,0.0058854,0.023016,105.04091856002134,639.4957586006033,1.4416868776754943,504.590407186423,2.075e+39
19,202.5308,47.2077,1.7143000000000002e+37,8.962e+35,1.8463e+36,1.5638e+35,0.9318,0.1441,0.07032100000000001,0.013175999999999998,0.011216,0.031504000000000004,105.25406480829878,788.5349985591795,0.7659195839313716,268.0718543759801,2.367817679558011e+39
20,202.5308,47.2083,1.4044e+37,7.3652e+35,1.9477e+36,1.3915e+35,1.3313,0.0949,0.063902,0.010966,0.010237000000000001,0.028829,105.26333203722663,795.0149659343091,0.6860776288135734,240.12717008475067,1.939779005524862e+39
21,202.5308,47.2089,1.0003000000000001e+37,5.2934e+35,1.5969e+36,1.3683e+35,1.5535,0.1282,0.055264,0.0090006,0.009375,0.025648,105.27259926593314,801.4949333563758,0.6492672464047384,227.24353624165846,1.3816298342541438e+39
22,202.5309,47.2205,1.2233e+37,6.449e+35,1.6131e+36,1.5778e+35,1.2518,0.1298,0.021200999999999998,0.0049005,0.0049867,0.017003,104.7182561341736,926.7753645080948,1.1180064141410837,391.3022449493793,1.6896408839779006e+39
23,202.5309,47.2222,3.3933000000000003e+37,1.7665000000000002e+36,3.2077000000000004e+36,2.1773e+35,0.7259,0.1033,0.023441999999999998,0.0072712,0.0070015,0.027044,104.74453679536758,945.1352759623143,1.3834888381511539,484.22109335290384,4.6868784530386745e+39
24,202.5309,47.2227,6.1358e+37,3.1863000000000004e+36,1.1859e+37,1.2754000000000001e+36,1.8557,0.1359,0.038072,0.01081,0.0080376,0.043422,104.752266401756,950.5352500398924,2.6608587996137607,931.3005798648162,8.474861878453038e+39
25,202.5309,47.2233,2.345e+37,1.2250000000000001e+36,6.3379e+36,3.7271e+35,2.3853,0.0447,0.016888999999999998,0.00403,0.0050729,0.019247999999999998,104.76154192953652,957.0152190074066,1.2359340707155608,432.57692475044627,3.2389502762430944e+39
26,202.53,47.1933,2.9881e+37,1.5539e+36,2.3308e+36,5.375e+35,0.4223,0.498,0.07357999999999999,0.016656999999999998,0.010837000000000001,0.041158999999999994,110.90273685576454,633.0074251872513,1.4023783094803226,490.8324083181129,4.127209944751381e+39
