ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Sigma_star,LBol
535,202.4834,47.2078,3.1849e+37,1.6554e+36,2.9323e+36,1.6014000000000002e+36,0.6841,0.8066,0.037861,0.009065,0.009409899999999999,0.024364,453.0224096629854,789.2231146765474,3.6442234955663615,1275.4782234482266,4.3990331491712706e+39
536,202.4834,47.2083,2.4538000000000003e+37,1.2776e+36,2.6302e+36,7.9628e+35,0.9244,0.6249,0.031764999999999995,0.0074899,0.008409200000000002,0.021116,453.02685515254564,794.6230897993597,2.573926639377025,900.8743237819587,3.389226519337017e+39
537,202.4834,47.2089,2.2605e+37,1.1776e+36,2.5022000000000002e+36,2.8516e+35,0.9752,0.1699,0.032186,0.007325,0.0071223,0.021813,453.0321897400186,801.1030599897737,1.8783721895171817,657.4302663310136,3.122237569060774e+39
538,202.4834,47.2094,2.1408000000000003e+37,1.1160000000000001e+36,2.0335e+36,3.1279e+35,0.7334,0.2607,0.034292,0.007296600000000001,0.0082008,0.023205,453.0366352297177,806.5030351852777,1.7299590318176026,605.485661136161,2.9569060773480666e+39
539,202.4826,47.1789,1.0947e+37,5.7742e+35,8.731e+35,3.1679e+35,0.4574,1.3832,0.012687,0.0028612,0.0043732,0.011064000000000001,458.6381398929689,477.09977569563307,1.9629274256843932,687.0245989895376,1.5120165745856353e+39
540,202.4826,47.1794,1.7714000000000002e+37,9.2537e+35,2.9086e+36,2.5939e+35,1.5981,0.1315,0.015383,0.0028169000000000002,0.0044615,0.013318,458.6425300707037,482.4997503692103,2.1738457605300634,760.8460161855222,2.4466850828729285e+39
541,202.4826,47.18,1.0917000000000001e+37,5.759e+35,3.5619e+36,2.932e+35,2.6827,0.1063,0.011353,0.0017333,0.0035195,0.0098514,458.6477982840658,488.97971995792136,2.3003829317288758,805.1340261051065,1.507872928176796e+39
542,202.4826,47.1928,6.9919e+36,3.7619e+35,8.7593e+35,8.6374e+35,1.1707,1.3893,0.010270999999999999,0.0058088,0.005797600000000001,0.011099,458.7601868330676,627.2190686845538,2.611234394552265,913.9320380932928,9.65732044198895e+38
543,202.4826,47.1933,8.553100000000001e+36,4.5524e+35,1.1719e+36,8.5855e+35,1.3122,1.3235,0.0079172,0.0047168999999999996,0.0045748,0.0094584,458.76457701082506,632.6190432487274,2.6793509951753185,937.7728483113615,1.1813674033149173e+39
544,202.4826,47.1939,1.0876e+37,5.7379e+35,1.9502e+36,8.9241e+35,1.7372,1.6008,0.0063897,0.0037478000000000003,0.0035209000000000004,0.0081372,458.7698452238678,639.0990127364151,3.0101299181325816,1053.5454713464035,1.502209944751381e+39
545,202.4826,47.1944,2.1548e+37,1.1232000000000001e+36,4.0708e+36,1.3542e+36,1.8196,0.7149,0.0071465,0.0037239000000000005,0.0036538000000000005,0.0091815,458.7742354017482,644.498987318915,3.784443941795145,1324.5553796283007,2.976243093922652e+39
546,202.4826,47.195,3.7308000000000003e+37,1.9379e+36,6.6553e+36,9.7363e+35,1.729,0.2607,0.0085869,0.003625,0.0033613,0.010931999999999999,458.77950361489115,650.9789568312109,4.075308324694823,1426.3579136431879,5.15303867403315e+39
547,202.4826,47.1956,9.3521e+37,4.8476e+36,1.8235000000000002e+37,1.4685e+36,1.8695,0.0963,0.016607,0.0055316,0.004732500000000001,0.020528,458.7847718281748,657.4589263587575,7.405051267153341,2591.7679435036694,1.2917265193370167e+40
548,202.4826,47.1961,7.5913e+37,3.9359000000000003e+36,2.1195e+37,2.0180000000000002e+36,2.4367,0.1184,0.013748,0.0037582,0.0044663,0.016921000000000002,458.7891620061602,662.8589009776373,5.997552612301461,2099.143414305511,1.0485220994475138e+40
549,202.4826,47.1967,4.0370000000000004e+37,2.0963000000000002e+36,7.6256e+36,1.332e+36,1.8194,0.4068,0.0089972,0.0021552,0.0042835,0.010968,458.7944302194962,669.3388705372145,4.500198556049809,1575.069494617433,5.575966850828729e+39
550,202.4826,47.1972,2.3021e+37,1.1992e+36,5.3087000000000003e+36,9.3505e+35,2.1346,0.3379,0.0071790000000000005,0.0015880999999999998,0.003568,0.008340100000000001,458.7988203971782,674.7388451849965,3.7420567004791945,1309.7198451677182,3.179696132596685e+39
551,202.4826,47.1978,1.3147000000000002e+37,6.9016e+35,5.1467000000000005e+36,4.4994e+35,2.9706,0.1372,0.006404399999999999,0.0013049000000000001,0.0023155999999999997,0.006631399999999999,458.804088610489,681.2188147813207,3.480704741389661,1218.2466594863813,1.8158839779005527e+39
552,202.4826,47.1983,1.7638e+37,9.2134e+35,6.0556e+36,4.0453e+35,2.7633,0.079,0.009531399999999999,0.0017082,0.002447,0.008389200000000001,458.80847878822937,686.6187894616405,3.610168939335309,1263.559128767358,2.4361878453038675e+39
553,202.4826,47.1989,2.3438e+37,1.2207000000000001e+36,6.2328e+36,4.235e+35,2.3597,0.076,0.013855000000000001,0.0021703000000000004,0.0032042999999999998,0.010886,458.813747001665,693.0987590993263,3.403827538349014,1191.3396384221548,3.2372928176795583e+39
554,202.4826,47.1994,1.2901000000000002e+37,6.7743e+35,4.7827000000000003e+36,3.1323e+35,2.8846,0.0712,0.011184999999999999,0.0016414,0.0029988000000000003,0.008406799999999999,458.8181371794603,698.4987338161911,2.8008854370397254,980.3099029639038,1.7819060773480667e+39
555,202.4826,47.2,5.1681000000000005e+36,2.8493e+35,3.2059e+36,2.1304e+35,3.6978,0.0798,0.008726399999999999,0.0013284,0.0029267,0.006670100000000001,458.8234053929247,704.9787035001954,2.2827560573686063,798.9646200790122,7.138259668508287e+38
556,202.4826,47.2067,1.7242000000000002e+37,9.008e+35,1.8081e+36,2.2178e+35,0.8898,0.2241,0.023596000000000002,0.0053658,0.0040616,0.014766,458.8822337777003,777.3383671510782,2.0931551449059773,732.6043007170921,2.3814917127071825e+39
557,202.4826,47.2072,3.9108000000000003e+37,2.0309000000000002e+36,4.9801000000000005e+36,6.5704e+35,1.1965,0.1803,0.041348,0.0089155,0.0060956000000000005,0.025938,458.88662395584885,782.7383422415227,3.686474967052384,1290.2662384683344,5.401657458563536e+39
558,202.4826,47.2078,3.9970000000000004e+37,2.0755000000000002e+36,4.1222e+36,1.1115e+36,0.8634,0.4533,0.041194999999999996,0.0085485,0.008985,0.026561,458.8918921695478,789.2183123910527,3.618645020117635,1266.5257570411723,5.5207182320442e+39
559,202.4826,47.2083,2.3153e+37,1.206e+36,1.8090000000000002e+36,5.0558e+35,0.4248,0.6788,0.027208999999999997,0.0055578,0.008832,0.018655,458.89628234778985,794.6182875502242,2.2897202890060644,801.4021011521226,3.19792817679558e+39
560,202.4826,47.2089,2.0127000000000001e+37,1.0498e+36,1.7729000000000002e+36,2.9496e+35,0.6143,0.3058,0.026396,0.005284399999999999,0.007681,0.019019,458.90155056164554,801.0982577843574,1.7565917385027519,614.8071084759631,2.779972375690608e+39
561,202.4826,47.2094,1.9897e+37,1.0379e+36,1.9155000000000002e+36,3.1698e+35,0.7547,0.2709,0.029153,0.0055688000000000005,0.0083819,0.021675,458.9059407399517,806.4982330163248,1.6239797123309236,568.3928993158232,2.748204419889503e+39
562,202.4826,47.21,1.8078e+37,9.4407e+35,1.3594e+36,2.9173e+35,0.3644,0.3611,0.030999000000000002,0.0055496,0.0094642,0.023153,458.91120895384455,812.9782033403519,1.5657910514844264,548.0268680195493,2.496961325966851e+39
563,202.4817,47.1789,1.0723000000000002e+37,5.6596e+35,8.9112e+35,2.4502e+35,0.5223,1.0583,0.013581000000000001,0.0034335999999999998,0.004064,0.011483,465.24490437215536,477.09444264160203,1.9326711745251208,676.4349110837923,1.4810773480662987e+39
564,202.4817,47.1794,2.4903000000000003e+37,1.2965000000000001e+36,3.5617e+36,2.7494e+35,1.3799,0.0864,0.021319,0.0044229,0.0053232,0.01775,465.2492323247186,482.49441735626664,2.3376031994293482,818.1611198002719,3.4396408839779013e+39
565,202.4817,47.18,1.8153e+37,9.4799e+35,4.0776e+36,2.7813e+35,2.093,0.0718,0.016980000000000002,0.0029108,0.0047129,0.014107,465.25442586761335,488.9743869940606,2.145527659361666,750.9346807765831,2.5073204419889503e+39
566,202.4817,47.1922,1.0531e+37,5.561e+35,1.8041e+36,1.057e+36,1.665,0.9632,0.012514,0.006082100000000001,0.0045805,0.011731,465.36002790590413,620.733767252398,3.106357102121938,1087.2249857426784,1.454558011049724e+39
567,202.4817,47.1928,1.3319e+37,6.9904e+35,2.4216e+36,1.1207000000000001e+36,1.7592,1.8622,0.010422,0.0047971,0.003935,0.010211,465.3652214487041,627.213736769344,3.232767412197947,1131.4685942692813,1.8396408839779004e+39
568,202.4818,47.1933,1.8262000000000001e+37,9.5356e+35,4.0042e+36,9.6488e+35,2.0549,0.4827,0.009470600000000001,0.004094899999999999,0.0033475,0.0098586,464.6356635781283,632.6143000460687,3.5361959678047903,1237.6685887316767,2.522375690607735e+39
569,202.4818,47.1939,2.401e+37,1.2503e+36,5.5512e+36,9.7689e+35,2.1386,0.3264,0.008739700000000001,0.0035341,0.0030859000000000004,0.0097859,464.6408654175915,639.0942695773948,3.9403942800112377,1379.1379980039333,3.3162983425414367e+39
570,202.4818,47.1944,3.1877e+37,1.6568000000000002e+36,7.843e+36,1.0862000000000001e+36,2.237,0.2311,0.0085086,0.0030800999999999997,0.0031771,0.010112999999999999,464.64520028396913,644.4942441963632,4.523943120772018,1583.3800922702064,4.402900552486188e+39
571,202.4818,47.195,3.813e+37,1.9804e+36,8.316600000000001e+36,8.0761e+35,2.0466,0.1581,0.0082124,0.0024925999999999998,0.0032963999999999997,0.010196,464.6504021237377,650.9742137522079,4.362568529263801,1526.8989852423304,5.2665745856353594e+39
572,202.4818,47.1956,7.024800000000001e+37,3.6426e+36,1.1252e+37,1.0759e+36,1.5588,0.1539,0.012452,0.0030808000000000003,0.004804999999999999,0.015745,464.6556039632344,657.4541833235188,5.568518657721719,1948.9815302026016,9.702762430939227e+39
573,202.4818,47.1961,6.2638e+37,3.2488e+36,9.961600000000001e+36,1.3730000000000002e+36,1.5476,0.2801,0.011438,0.0023831,0.005231399999999999,0.01484,464.65993882950784,662.854157979059,5.113434190415983,1789.7019666455942,8.651657458563536e+39
574,202.4818,47.1967,4.1613e+37,2.1606000000000002e+36,4.5627000000000004e+36,2.536e+36,0.9601,0.9467,0.009169499999999999,0.0017226,0.006205,0.012008,464.6651406692033,669.3341275823439,5.73779537445428,2008.2283810589981,5.747651933701657e+39
575,202.4818,47.1972,2.8412000000000003e+37,1.4778e+36,4.4551e+36,2.6036000000000002e+36,1.5253,1.9945,0.0083817,0.0015196,0.006569499999999999,0.010614,464.6694755356005,674.7341022664783,4.519150787206844,1581.7027755223955,3.924309392265194e+39
576,202.4818,47.1978,1.6901e+37,8.8339e+35,4.1214e+36,1.3255e+36,2.2228,0.7301,0.0075471,0.0013417,0.0040498,0.008611399999999998,464.67467737523145,681.214071906509,3.5994319470830325,1259.8011814790614,2.3343922651933702e+39
577,202.4818,47.1983,1.2312e+37,6.4733e+35,5.1006e+36,8.3084e+35,3.0601,0.2659,0.0079069,0.0013093,0.0028677,0.0077072,464.6790122416687,686.6140466231834,3.582230754002689,1253.780763900941,1.7005524861878453e+39
578,202.4818,47.1989,9.9919e+36,5.285e+35,3.5928e+36,4.2919e+35,2.8363,0.2243,0.008487200000000002,0.0012667,0.0028466,0.007365699999999999,464.6842140813508,693.0940163046533,2.7117680564153543,949.118819745374,1.380096685082873e+39
579,202.4818,47.1994,8.483800000000001e+36,4.5162e+35,2.9295e+36,3.1486e+35,2.7724,0.1941,0.0090072,0.0012774000000000001,0.0032084,0.0073945999999999994,464.6885489478129,698.4939910578638,2.4129917462296677,844.5471111803837,1.1717955801104974e+39
580,202.4818,47.2,6.974900000000001e+36,3.7512e+35,2.9338e+36,2.0179e+35,3.0841,0.0937,0.009379,0.001391,0.0033770000000000002,0.0076198,464.69375078748084,704.9739607857547,2.1913545941066155,766.9741079373155,9.633839779005527e+38
581,202.4818,47.2006,1.1612e+37,6.1137e+35,3.3301e+36,2.0317e+35,2.479,0.0592,0.013456999999999998,0.0022541999999999996,0.0046273,0.010833,464.69895262737487,711.4539305406366,2.168079378579697,758.8277825028939,1.603867403314917e+39
582,202.4818,47.2011,9.167300000000001e+36,4.8635e+35,3.0337e+36,2.3131e+35,2.7052,0.0911,0.013827,0.0026898000000000004,0.004576,0.010876,464.7032874938418,716.8539053583072,2.078258899298813,727.3906147545846,1.2662016574585637e+39
583,202.4818,47.2072,2.2531e+37,1.1739000000000001e+36,3.2051e+36,2.9794e+35,1.3714,0.1324,0.025447,0.0048411,0.0047721000000000005,0.016424,464.75617286659104,782.7336000513467,2.5861760003021246,905.1616001057436,3.112016574585635e+39
584,202.4818,47.2078,2.9338e+37,1.5255e+36,3.6601000000000004e+36,5.2827e+35,1.1641,0.2068,0.030213999999999998,0.0055115,0.0076544,0.020250999999999998,464.76137470673757,789.2135702443228,2.3875298384904173,835.6354434716461,4.052209944751381e+39
585,202.4818,47.2083,1.8372e+37,9.5924e+35,1.7888e+36,3.2510000000000003e+35,0.7725,0.3353,0.021454,0.0039495,0.008131399999999999,0.015256,464.76570957356535,794.613545439972,1.7140406346580532,599.9142221303186,2.537569060773481e+39
586,202.4818,47.2089,1.5095e+37,7.9041e+35,1.2798e+36,2.9071e+35,0.5538,0.4482,0.019706,0.0037340000000000003,0.0074801,0.014832,464.7709114136995,801.0935157179389,1.5625493023040888,546.8922558064311,2.0849447513812157e+39
587,202.4818,47.2094,1.6344000000000001e+37,8.5474e+35,1.2388000000000001e+36,2.952e+35,0.377,0.4838,0.022751,0.0043517,0.0079565,0.018083000000000002,464.7752462805228,806.4934909865489,1.562300354663046,546.8051241320661,2.2574585635359118e+39
588,202.4809,47.1728,1.094e+37,5.7705e+35,2.5114000000000002e+36,3.1664e+35,2.1274,0.188,0.058141,0.012709,0.0074756,0.026448000000000003,471.06545771939966,411.2100725744405,1.4466109289721598,506.3138251402559,1.5110497237569063e+39
589,202.4809,47.1789,8.3765e+36,4.4625e+35,9.4855e+35,2.6171e+35,1.0111,0.9212,0.012407,0.0031574999999999997,0.0038159,0.010313,471.11758394201814,477.08976605209983,1.8437143226950896,645.3000129432813,1.156975138121547e+39
590,202.4809,47.1794,1.6158000000000001e+37,8.4519e+35,3.0341000000000004e+36,2.0487e+35,1.81,0.09699999999999999,0.016391,0.0034619,0.004186199999999999,0.013267,471.1218565829498,482.48974080283006,2.0793506722643498,727.7727352925224,2.231767955801105e+39
591,202.4809,47.18,1.4266000000000002e+37,7.478000000000001e+35,3.6988000000000005e+36,2.4297e+35,2.3197,0.0887,0.015188,0.0026576,0.0043636000000000005,0.012261,471.12698375238426,488.96971048442117,1.966531446948432,688.2860064319513,1.9704419889502766e+39
592,202.4809,47.1917,1.0518e+37,5.5542e+35,1.5116e+36,8.6721e+35,1.3876,0.9131,0.012993000000000001,0.0057085,0.0044827,0.011317,471.2269635520657,615.3291170020515,3.0102700940546816,1053.5945329191386,1.4527624309392266e+39
593,202.4809,47.1922,1.895e+37,9.8887e+35,4.014e+36,1.1976e+36,2.0004,0.5541,0.013512,0.0052723,0.0039296999999999995,0.011812999999999999,471.23123619300287,620.729091629107,3.7582337088756477,1315.3817981064767,2.6174033149171272e+39
594,202.4809,47.1928,1.8688000000000001e+37,9.7556e+35,5.352200000000001e+36,1.3131000000000001e+36,2.4768,0.4382,0.010449,0.0035719000000000002,0.0029204,0.0093532,471.2363633620157,627.2090611897331,4.093402295976274,1432.6908035916958,2.5812154696132598e+39
595,202.4809,47.1933,2.7172000000000004e+37,1.4136e+36,7.8145e+36,1.0195e+36,2.4834,0.1957,0.010834,0.0033323,0.0031076,0.010183,471.2406360030851,632.6090358311902,4.469072056578278,1564.1752198023971,3.7530386740331497e+39
596,202.4809,47.1939,3.594e+37,1.8671e+36,7.9137e+36,1.1323000000000001e+36,2.0616,0.2416,0.011023999999999999,0.0031577,0.0035395,0.011312000000000001,471.24576317233897,639.0890054114777,4.56361672781641,1597.2658547357437,4.964088397790056e+39
597,202.4809,47.1944,4.0085000000000003e+37,2.0814e+36,9.8026e+36,1.2302000000000001e+36,2.2273,0.1815,0.010171,0.0027039,0.0037919000000000004,0.011531999999999999,471.2500358133578,644.48898007136,5.2659902265040195,1843.0965792764068,5.536602209944752e+39
598,202.4809,47.195,3.7880000000000004e+37,1.9674e+36,8.1179e+36,1.0688e+36,2.0188,0.2258,0.0086109,0.0020305,0.004449600000000001,0.010638,471.25516298251154,650.96894967644,4.3599735081855915,1525.990727864957,5.2320441988950283e+39
599,202.4809,47.1956,5.646200000000001e+37,2.9290000000000004e+36,6.2773e+36,1.4097e+36,0.9821,0.4918,0.011227,0.0022636999999999996,0.00733,0.014624000000000002,471.2602901519761,657.4489192965402,4.132655274953786,1446.429346233825,7.798618784530387e+39
600,202.4809,47.1961,5.9908e+37,3.1074e+36,7.1094e+36,1.5985000000000002e+36,1.0851,0.4391,0.012152,0.0021301,0.0082274,0.016345,471.2645627928588,662.8488939930388,4.437228837879945,1553.0300932579808,8.274585635359116e+39
601,202.4809,47.1967,3.2301e+37,1.6789000000000002e+36,4.9526e+36,1.4079e+36,1.4898,0.5889,0.008397499999999999,0.0013614,0.0067684,0.011298,471.26968996230033,669.328863645259,3.883060690098057,1359.0712415343198,4.4614640883977904e+39
602,202.4809,47.1972,1.8159e+37,9.4833e+35,3.2277000000000003e+36,1.4694e+36,1.7232,1.0367,0.006914699999999999,0.0011201,0.0064696,0.0088926,471.2739626031831,674.728838370449,3.5551550035831805,1244.304251254113,2.5081491712707183e+39
603,202.4809,47.1978,1.5298000000000002e+37,8.0086e+35,2.7347000000000004e+36,1.1721000000000001e+36,1.7323,1.0881,0.0078677,0.0013227,0.005743,0.0091685,471.27908977261137,681.2088080593554,3.330524185594161,1165.6834649579564,2.112983425414365e+39
604,202.4809,47.1983,1.2031e+37,6.3289e+35,3.1178e+36,9.981000000000001e+35,2.3188,0.6579999999999999,0.0084691,0.0014202,0.0044935,0.0086159,471.28336241359926,686.6087828171057,3.190557916767092,1116.6952708684823,1.6617403314917128e+39
605,202.4809,47.1989,9.1383e+36,4.849e+35,2.4336000000000002e+36,6.7498e+35,2.362,0.6081,0.008551000000000001,0.0013578,0.0039473,0.007847199999999999,471.2884895830078,693.0887525475147,2.6871502447402835,940.5025856590993,1.262196132596685e+39
606,202.4809,47.1994,1.2685e+37,6.6635e+35,2.5309e+36,5.4067e+35,1.9059,0.4207,0.010990999999999999,0.0016916000000000001,0.004338600000000001,0.009504799999999999,471.2927622241249,698.4887273416513,2.5974338924283704,909.1018623499297,1.7520718232044198e+39
607,202.4809,47.2,1.8753000000000002e+37,9.7877e+35,3.6724e+36,3.8208e+35,1.8764,0.1543,0.014856999999999999,0.0023710999999999997,0.0049386000000000005,0.012423,471.2978893934948,704.9686971185022,2.6132859703385303,914.6500896184856,2.590193370165746e+39
608,202.4809,47.2006,1.2684e+37,6.6628e+35,3.7614e+36,2.6268e+35,2.5319,0.0796,0.012972999999999998,0.0022576999999999996,0.004234300000000001,0.01063,471.3030165629608,711.4486669225029,2.3596828119441824,825.8889841804638,1.7519337016574588e+39
609,202.4809,47.2011,4.7185000000000004e+36,2.6285e+35,2.5684e+36,1.7746e+35,3.4913,0.1022,0.0096628,0.0018577,0.0034020000000000005,0.0077545,471.30728920414407,716.8486417810193,2.134634587384568,747.1221055845988,6.5172651933701664e+38
610,202.4809,47.2072,9.050500000000001e+36,4.8022e+35,1.5120000000000002e+36,2.9106e+35,1.6253,0.3792,0.014176,0.0025128,0.0043693000000000004,0.0094682,471.359415428104,782.7283369727145,1.7704894422960566,619.6713048036198,1.2500690607734809e+39
611,202.4809,47.2078,1.4978000000000002e+37,7.8416e+35,1.7737e+36,2.8688e+35,1.0818,0.3045,0.018172999999999998,0.0031096,0.0057399999999999994,0.012584999999999999,471.36454259786797,789.2083072147522,1.7224126753819562,602.8444363836846,2.0687845303867406e+39
612,202.481,47.2083,1.4567e+37,7.6317e+35,1.9694000000000002e+36,2.7239e+35,1.291,0.2257,0.017513,0.0031062,0.005573,0.012624,470.6351368300021,794.6088634693143,1.6991382035274023,594.6983712345908,2.0120165745856355e+39
613,202.481,47.2089,1.3971e+37,7.3257e+35,1.7656e+36,3.2751e+35,1.1844,0.3221,0.017232,0.0033108000000000005,0.0055451,0.013034,470.6402722965214,801.0888337907801,1.6562871093660472,579.7004882781165,1.929696132596685e+39
614,202.481,47.2094,1.4848e+37,7.777e+35,1.4163000000000002e+36,3.4269e+35,0.74,0.4382,0.018715,0.0038851999999999997,0.006921600000000001,0.015015,470.6445518519083,806.4888090958499,1.6605189051257292,581.1816167940052,2.050828729281768e+39
615,202.481,47.21,1.3192e+37,6.9254e+35,8.7174e+35,3.3204e+35,0.1603,0.932,0.018726,0.004083099999999999,0.010143000000000001,0.016216,470.64968731860085,812.9687795068418,1.4233215198548284,498.16253194918994,1.8220994475138122e+39
616,202.4801,47.1733,1.066e+37,5.6266e+35,1.3916000000000002e+36,1.8948e+35,1.2358,0.2652,0.057177,0.010361,0.0079298,0.026746,476.9430294494329,416.60543072250914,1.1467839255938117,401.3743739578341,1.4723756906077348e+39
617,202.4801,47.1789,1.486e+37,7.7833e+35,1.6260000000000002e+36,3.1576e+35,0.9569,0.4102,0.018111000000000002,0.0043032,0.0051519,0.014786,476.99026354313685,477.0851496064581,2.001199121237076,700.4196924329766,2.052486187845304e+39
618,202.4801,47.1794,1.8659e+37,9.7411e+35,4.6428000000000005e+36,3.6868e+35,2.2547,0.0899,0.019029,0.0037774,0.0045192,0.015028,476.9944808729969,482.4851243937733,2.4084934674731246,842.9727136155936,2.5772099447513814e+39
619,202.4801,47.18,1.2797e+37,6.7223e+35,4.8931e+36,3.0745e+35,2.9335,0.0592,0.015006,0.0024886999999999995,0.0039412,0.011867,476.9995416684832,488.9650941185554,2.2167626590088765,775.8669306531068,1.7675414364640886e+39
620,202.4801,47.1906,4.4934000000000004e+36,2.5196e+35,6.885000000000001e+35,7.5867e+35,1.4888,1.5499,0.013527,0.0056537,0.0049872,0.010125,477.08894905648765,603.4445572427157,2.6847401687572265,939.6590590650293,6.206353591160221e+38
621,202.4801,47.1911,7.4085e+36,3.9714e+35,1.1994e+36,1.022e+36,1.5757,1.8117,0.011837,0.004703,0.0042541,0.009367299999999999,477.09316638607794,608.8445318954213,2.9466802202221687,1031.338077077759,1.0232734806629835e+39
622,202.4801,47.1917,1.2829e+37,6.739e+35,2.3173e+36,1.0986e+36,1.7487,1.7155,0.011554,0.0040895,0.0035165999999999995,0.009325,477.09822718181465,615.3245014843419,3.4276790640122075,1199.6876724042727,1.771961325966851e+39
623,202.4801,47.1922,2.1163000000000002e+37,1.1031e+36,4.6763000000000004e+36,1.1988e+36,2.0672,0.4959,0.012254000000000001,0.0036981,0.0031241,0.0098903,477.10244451133264,620.7244761476827,4.0759222901829215,1426.5728015640225,2.923066298342542e+39
624,202.4801,47.1928,2.6514e+37,1.3796e+36,6.7695e+36,1.0926000000000001e+36,2.2954,0.2885,0.011798000000000001,0.003043,0.0028533,0.009753,477.1075053069963,627.2044457516254,4.677873009345586,1637.255553270955,3.662154696132597e+39
625,202.4801,47.1933,2.9845000000000003e+37,1.5519e+36,7.8973e+36,1.0858000000000001e+36,2.3519,0.2314,0.011065,0.0025444,0.0031886999999999996,0.0096373,477.1117226366169,632.6044204293357,4.509499970772498,1578.3249897703743,4.1222375690607737e+39
626,202.4801,47.1939,2.3417e+37,1.2197e+36,5.9712e+36,9.877e+35,2.2933,0.3209,0.0082862,0.0017964000000000003,0.0032820999999999996,0.0080315,477.11678343197855,639.0843900532802,3.995127533732216,1398.2946368062755,3.2343922651933706e+39
627,202.4801,47.1944,2.1638e+37,1.1278000000000001e+36,5.0521000000000003e+36,1.1806e+36,2.1542,0.5088,0.0071202,0.0014976,0.0038332,0.0078832,477.12100076166064,644.4843647493958,4.177197549743202,1462.0191424101206,2.9886740331491716e+39
628,202.4801,47.195,2.5563e+37,1.3305000000000002e+36,4.5363000000000004e+36,1.7866e+36,1.7207,1.4468,0.0074249,0.00148,0.005522999999999999,0.0092494,477.1260615572001,650.9643343979195,4.346573838174464,1521.3008433610626,3.530801104972376e+39
629,202.4801,47.1956,5.4303e+37,2.8173e+36,5.6972e+36,2.0336e+36,0.8905,0.8352,0.012884999999999999,0.0023287,0.009203399999999999,0.017184,477.1311223528405,657.4443040616304,4.606434582411013,1612.2521038438545,7.500414364640884e+39
630,202.4801,47.1961,8.851e+37,4.588e+36,9.354400000000001e+36,2.1493e+36,0.9021,0.3775,0.020439,0.0033233000000000004,0.010641,0.02738,477.1353396825281,662.8442787942281,5.281178859740467,1848.4126009091635,1.2225138121546962e+40
631,202.4801,47.1967,5.1398e+37,2.6668000000000004e+36,7.9607e+36,1.3988000000000002e+36,1.5058,0.2761,0.014481,0.0022179,0.0072413,0.018611000000000003,477.14040047811187,669.324248490151,4.196044939917782,1468.615728971224,7.099171270718232e+39
632,202.4801,47.1972,2.449e+37,1.2750000000000001e+36,4.4564e+36,1.1018e+36,1.7604,0.4422,0.009948299999999998,0.0015527999999999998,0.005559000000000001,0.011807999999999999,477.14461780778186,674.7242232514027,3.6298773111237885,1270.457058893326,3.3825966850828733e+39
633,202.4801,47.1978,1.6183000000000002e+37,8.4636e+35,3.5631e+36,1.1009e+36,2.0615,0.5937,0.0093578,0.0015822000000000002,0.0055468,0.010125,477.14967860340585,681.2041929839788,3.3983948549106278,1189.4381992187198,2.2352209944751385e+39
634,202.4801,47.1983,1.1074e+37,5.8368e+35,3.0903e+36,1.0912000000000001e+36,2.4359,0.6903,0.008953000000000001,0.0016208,0.0052044,0.0087702,477.1538959331643,686.6041677777466,3.2016734534492697,1120.5857087072443,1.529558011049724e+39
635,202.4801,47.1989,1.0016000000000001e+37,5.2963e+35,2.3848e+36,8.1948e+35,2.185,0.7014,0.0092869,0.0016937999999999999,0.0046142,0.0084407,477.158956728872,693.0841375517094,2.8517043377301534,998.0965182055537,1.3834254143646412e+39
636,202.4801,47.1994,1.4055e+37,7.3682e+35,2.5587000000000003e+36,6.4837e+35,1.7611,0.4919,0.011382,0.0020408,0.0044602,0.00982,477.16317405853135,698.4841123822138,2.8028224244322897,980.9878485513013,1.9412983425414368e+39
637,202.4801,47.2,2.2867000000000003e+37,1.1911000000000001e+36,3.273e+36,5.5271e+35,1.3812,0.3364,0.015718,0.0028268,0.0052867,0.013059999999999999,477.1682348543225,704.9640822024243,2.825598572502464,988.9595003758624,3.158425414364641e+39
638,202.4801,47.2006,1.9131e+37,9.9837e+35,3.5084e+36,4.9625e+35,1.7726,0.2623,0.014804,0.0027375,0.0050103000000000005,0.012202,477.1732956500638,711.4440520500248,2.6151439798525264,915.3003929483842,2.642403314917127e+39
639,202.4801,47.2011,9.8052e+36,5.189000000000001e+35,2.6344000000000002e+36,3.6919e+35,2.376,0.2696,0.011248000000000001,0.0021796999999999997,0.0042887,0.0092994,477.1775129797548,716.8440269449466,2.336117372743085,817.6410804600798,1.3543093922651935e+39
640,202.4801,47.2017,5.6741e+36,3.0995e+35,2.0117e+36,3.5164e+35,2.8141,0.3431,0.010045,0.0020695,0.0041270000000000005,0.00843,477.1825737756757,723.3239968459676,2.2657496578618925,793.0123802516624,7.837154696132598e+38
641,202.4801,47.2028,6.703500000000001e+36,3.6135e+35,2.2497e+36,2.1605e+35,2.7273,0.1558,0.013082,0.0029326,0.0040833,0.010373,477.1918519012781,735.2039417472619,2.068444040285686,723.9554140999901,9.258977900552487e+38
