ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Dist_to_center,H_old,L_Bol,F_Bol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Sigma_new,Mass_old,Mass_g,Mass_tot,L_Edd,F_Edd,tau_RP
11,202.5317,47.2127,1.5220999999999998e+37,7.972799999999999e+35,1.2202000000000001e+36,1.1325e+35,0.4654,0.1398,0.058718,0.0095657,0.0080653,0.028641,98.72873485191803,842.5442108716005,0.8856575849959126,7391.00901036329,3.124473124107002e+21,7.154207774070784e+39,0.14626418575087005,0.06470767260112063,0.0019398374821389917,0.42014433289183406,0.30070277734614803,1.9850531235323401e+37,0.00040583414398163704,1.5934387632144452e+35,5.803728165510333e+36,2.581360327715518e+37,2.995309207143176e+39,0.15463118830599792,0.6829414455416595
12,202.5317,47.2133,1.5877e+37,8.3114e+35,1.5072e+36,1.8511e+35,0.7324,0.1635,0.065384,0.010549,0.0096164,0.031715,98.73807675183008,849.0241786250358,0.7739996253740565,7360.750336518332,3.111681580615832e+21,7.462542331576233e+39,0.1525679309616033,0.05654974640859539,0.0030527223290042925,0.5489016285775647,0.47321597363197,2.0706056397295163e+37,0.0004233249263515178,1.3982727834475371e+35,9.133327263471785e+36,2.99792109391117e+37,4.190023204840666e+39,0.26250965350843386,1.074744982197489
13,202.5317,47.2205,1.5763e+37,8.2643e+35,2.5348e+36,1.6563999999999999e+35,1.5651,0.0708,0.025236,0.005882,0.0042607,0.016956,98.85017955735655,926.7837966536536,1.2900261186255244,7072.066972487405,2.9896436543967304e+21,7.408959801765835e+39,0.1514724630438844,0.09425148297061266,0.006523505894490193,0.7937949936070681,1.0112374663181267,2.0557382817318364e+37,0.00042028536965919096,2.4256333641201732e+35,1.9517436510185264e+37,4.0317382663915646e+37,8.325514304893764e+39,0.7671696804160718,2.2966730907117556
14,202.5317,47.2222,2.4546999999999997e+37,1.2817e+36,1.8824e+36,1.6162e+35,0.3954,0.1607,0.018655,0.0065816,0.0076769,0.02139,98.87664827754668,945.1437079671103,0.807344963645837,7025.02264348303,2.9697561476422786e+21,1.1537634730314403e+40,0.23588114891443443,0.058985978798604094,0.001648069919290411,0.38242126061073634,0.2554745985446217,3.201307340079387e+37,0.0006544912116363737,1.5282147679448945e+35,4.93079956304853e+36,3.709669444063689e+37,4.017692536474389e+39,0.14128350183943023,0.5802214172049251
15,202.5317,47.2227,3.7292999999999997e+37,1.9408000000000002e+36,5.4867e+36,2.9447999999999998e+35,1.4246,0.043,0.025749,0.0093669,0.0080417,0.030243,98.88443319535963,950.5436820032968,1.0958625975203322,7012.787922488894,2.9645840450411954e+21,1.7528537580869966e+40,0.3583621496095655,0.0800655597430104,0.005937886714772685,0.7573371104443692,0.9204580502950634,4.863582296556833e+37,0.0009943349800609152,2.0779656734244414e+35,1.7765344100958362e+37,6.660896363386914e+37,1.3120118214843645e+40,0.7237691695919852,2.090499319550168
16,202.5308,47.1916,1.238e+37,6.5098e+35,8.8101e+35,2.3271e+35,0.2773,0.5057,0.067012,0.017905,0.021217,0.045251,105.0053941868258,614.655886398153,0.7115289708353133,8844.7691214058,3.739035275158671e+21,5.818874728532706e+39,0.11896397211719145,0.05198563097780512,0.0011558163596844485,0.3026418777385638,0.1791681997380465,1.6145429123796317e+37,0.0003300851916754922,1.0697447136229323e+35,3.458044306609401e+36,1.971044790176801e+37,1.8919410444169136e+39,0.08160945412702506,0.4069180551110919
17,202.5308,47.1933,2.1579e+37,1.1248000000000001e+36,2.1877000000000002e+36,3.0016e+35,0.8364,0.2581,0.06,0.01588,0.0096924,0.035693,105.03165133215134,633.015791924259,1.0985671816434055,8688.20080375861,3.6728476274519274e+21,1.0142608866478778e+40,0.20736054558294625,0.0802633506264248,0.003486205565236469,0.5932213100076132,0.5404121249942377,2.8142343704555795e+37,0.0005753560865238649,1.6813989269544328e+35,1.0430249758557892e+37,3.874073335580913e+37,5.721097473229707e+39,0.3247965347660525,1.2273575957263516
18,202.5308,47.1939,1.5023e+37,7.8677e+35,3.3236000000000005e+36,4.67e+35,2.0691,0.2174,0.041996,0.0087973,0.0058854,0.023016,105.04091856002134,639.4957586006032,1.4416868776754943,8633.956855278051,3.649916555532612e+21,7.061143380189567e+39,0.1443615309464109,0.10533230452752845,0.008624232346999975,0.8774019212966686,1.3368803536891167,1.9592308701679486e+37,0.0004005549139370694,2.2204195483867904e+35,2.580252244791025e+37,4.561687310442841e+37,1.1265835924664036e+40,1.1693957545988565,3.0362572947362434
19,202.5308,47.2077,1.7143e+37,8.962e+35,1.8463e+36,1.5638e+35,0.9318,0.1441,0.070321,0.013176,0.011216,0.031504,105.25406480829878,788.5349985591795,0.7659195839313716,7559.388478833336,3.195653814476668e+21,8.057590425786443e+39,0.1647333904689025,0.05595942249789944,0.003883843072318677,0.6258215138033194,0.6020516715323178,2.235711562756383e+37,0.0004570800033031472,1.347317310610364e+35,1.1619926739627264e+37,3.4111774098252134e+37,5.319851999039478e+39,0.3595602011899308,1.3673503200595578
20,202.5308,47.2083,1.4044e+37,7.3652e+35,1.9477e+36,1.3915e+35,1.3313,0.0949,0.063902,0.010966,0.010237,0.028829,105.26333203722665,795.0149659343091,0.6860776288135734,7521.360139771575,3.179577724840422e+21,6.600991654887991e+39,0.13495395996880752,0.05012602684943605,0.005549002234575933,0.7381908054499065,0.8601753491210288,1.8315541729773465e+37,0.0003744520542722628,1.2129704711863889e+35,1.660185497796284e+37,3.5038693754854946e+37,6.618577520297433e+39,0.5824251939310939,1.953588196067063
21,202.5308,47.2089,1.0003e+37,5.2934e+35,1.5969e+36,1.3682999999999999e+35,1.5535,0.1282,0.055264,0.0090006,0.009375,0.025648,105.27259926593314,801.4949333563758,0.6492672464047384,7484.157787601094,3.1638508126762985e+21,4.7016319797667736e+39,0.09612250509598273,0.04743659339595527,0.0064751558412181436,0.7898333035124845,1.0037425109738742,1.3045454565859012e+37,0.0002667077683626776,1.1535963897825929e+35,1.9372779770348741e+37,3.2533593975186016e+37,6.702388599941924e+39,0.7182908492191651,2.2796509145873833
22,202.5309,47.2205,1.2233e+37,6.449e+35,1.6131e+36,1.5778e+35,1.2518,0.1298,0.021201,0.0049005,0.0049867,0.017003,104.7182561341736,926.7753645080948,1.1180064141410837,6958.1818690558475,2.941499896973472e+21,5.749781466408771e+39,0.11755139506539604,0.08168341541604139,0.005217637645340761,0.7154222483699185,0.8088090603392954,1.5953718454878863e+37,0.00032616576330907074,2.1365912370641725e+35,1.5610457493738365e+37,3.1777835072323643e+37,5.823993277781263e+39,0.5472767538961357,1.836927592456058
23,202.5309,47.2222,3.3933e+37,1.7665000000000002e+36,3.2077000000000004e+36,2.1773e+35,0.7259,0.1033,0.023442,0.0072712,0.0070015,0.027044,104.7445367953676,945.1352759623144,1.383488838151154,6910.362277113961,2.9212846557772167e+21,1.594926301803718e+40,0.32607467413995617,0.1010799949485129,0.003025629626739781,0.5458307895087122,0.46901621417182815,4.425386481888371e+37,0.0009047480459712824,2.6622431963327215e+35,9.052269607528903e+36,5.357235874604588e+37,7.461847922700936e+39,0.3109041439478448,1.065206693851935
24,202.5309,47.2227,6.1358e+37,3.1863000000000004e+36,1.1859e+37,1.2754000000000001e+36,1.8557,0.1359,0.038072,0.01081,0.0080376,0.043422,104.752266401756,950.5352500398924,2.6608587996137607,6897.924188139244,2.9160265814517403e+21,2.883962161496848e+40,0.5896115832929429,0.1944067634198451,0.007734758091115872,0.844355671729844,1.1989990200284635,8.0020294036986625e+37,0.0016359747326999074,5.129514753473806e+35,2.314133725126241e+37,1.0367458276359642e+38,2.3852017531100265e+40,1.1962782116461912,2.7231079512068277
25,202.5309,47.2233,2.3449999999999997e+37,1.225e+36,6.3379e+36,3.7271e+35,2.3853,0.0447,0.016889,0.00403,0.0050729,0.019248,104.76154192953652,957.0152190074066,1.2359340707155608,6883.984576600682,2.910133753889001e+21,1.1022020386437152e+40,0.22533967254831497,0.09029939345324282,0.009942188109467419,0.9244787841572842,1.5411824985040112,3.0582416232069756e+37,0.0006252421441672287,2.3874169599984657e+35,2.974566564931628e+37,6.056682357738589e+37,1.6362859820389368e+40,1.4921339099160886,3.5002583370230345
26,202.53,47.1933,2.9881e+37,1.5539e+36,2.3308e+36,5.375e+35,0.4223,0.498,0.07358,0.016657,0.010837,0.041159,110.90273685576454,633.0074251872513,1.4023783094803226,8597.529147797406,3.634517116452438e+21,1.4044733098811453e+40,0.28713751622243927,0.1024603440870735,0.00176019202558508,0.4035309076323532,0.2728551415412082,3.8969431958655715e+37,0.0007967104695036658,2.169029623200542e+35,5.266253554565995e+36,4.445258847554177e+37,4.872754277993431e+39,0.1639807341462525,0.6196952566657559
27,202.53,47.1939,1.9463999999999998e+37,1.0157e+36,2.829e+36,4.6559e+35,1.4054,0.2921,0.048473,0.0086888,0.0069821,0.025725,110.9119377097348,639.4873919131657,1.2905177351971473,8542.709477653862,3.611342664115043e+21,9.148511931838495e+39,0.18703673289895106,0.09428759888381046,0.00585785904039136,0.7555453443630632,0.9080526069666448,2.538405754972306e+37,0.0005189643110478012,2.008825762318018e+35,1.7525912255711695e+37,4.311085238166656e+37,8.39851264174284e+39,0.6603817243360475,2.062324683206378
