,ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Dist_to_center,H_old,L_Bol,F_Bol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Sigma_new,Mass_old,Mass_g,Mass_tot,E_dot_Wind,L_Edd,F_Edd,tau_RP,v_inf,R_UV,velocity_no_aging,distance_no_aging,time_no_aging,velocity_aging,distance_aging,time_aging
10,11,202.5317,47.2127,1.5220999999999998e+37,7.972799999999999e+35,1.2202000000000001e+36,1.1325e+35,0.4654,0.1398,0.058718,0.0095657,0.0080653,0.028641,98.72873485191803,842.5442108716005,0.8856575849959126,7391.00901036329,3.124473124107002e+21,9.338169760616884e+38,0.019091419197947827,0.06470175510541322,0.0019398374821389917,0.797313215097823,0.30070277734614803,3.382591602198948e+35,6.915538687826554e-06,1.019707548003517e+37,9.285965064816532e+37,1.0339498528842039e+38,882879.3784891315,6.323480209813596e+39,0.09861358714437632,0.9821443036256459,0.0,5.799979732620399e+19,0.0,0.0,0.0,0.0,0.0,0.0
11,12,202.5317,47.2133,1.5877e+37,8.3114e+35,1.5072e+36,1.8511e+35,0.7324,0.1635,0.065384,0.010549,0.0096164,0.031715,98.73807675183008,849.0241786250358,0.7739996253740565,7360.750336518332,3.111681580615832e+21,9.740629478307225e+38,0.019914227882912926,0.056544532350126624,0.0030527223290042925,0.9419685112541465,0.47321597363197,3.528375722233276e+35,7.213587001289153e-06,8.948120694065093e+36,1.4613323621554857e+38,1.55434194481837e+38,920930.0238007976,1.2662401890476214e+40,0.1703220617348251,1.5456005328221383,0.0,7.275912277294255e+19,0.0,0.0,0.0,0.0,0.0,0.0
12,13,202.5317,47.2205,1.5763e+37,8.2643e+35,2.5348e+36,1.6563999999999999e+35,1.5651,0.0708,0.025236,0.005882,0.0042607,0.016956,98.85017955735655,926.7837966536536,1.2900261186255244,7072.066972487405,2.9896436543967304e+21,9.670689832245184e+38,0.0197712397882696,0.0942420687889459,0.006523505894490193,1.1193187976506895,1.0112374663181267,3.5030412867395056e+35,7.161792019986201e-06,1.5522502931317157e+37,3.122789841629642e+38,3.2815179122295533e+38,914317.5640972458,4.807458925457884e+40,0.6208904119657066,3.3028664581102234,0.0,1.0636147029930228e+20,0.0,0.0,0.0,0.0,0.0,0.0
13,14,202.5317,47.2222,2.4546999999999997e+37,1.2817e+36,1.8824e+36,1.6162e+35,0.3954,0.1607,0.018655,0.0065816,0.0076769,0.02139,98.87664827754668,945.1437079671103,0.807344963645837,7025.02264348303,2.9697561476422786e+21,1.50597236130256e+39,0.03078884876499739,0.058980007895217734,0.001648069919290411,0.7405323362296695,0.2554745985446217,5.455126211101607e+35,1.1152731631961e-05,9.779584468285738e+36,7.889279300877648e+37,8.921789009817239e+37,1423824.9854656532,4.9911784473011986e+39,0.08069865095291767,0.8344216967201985,0.0,5.346032799884389e+19,0.0,0.0,0.0,0.0,0.0,0.0
14,15,202.5317,47.2227,3.7292999999999997e+37,1.9408000000000002e+36,5.4867e+36,2.9447999999999998e+35,1.4246,0.043,0.025749,0.0093669,0.0080417,0.030243,98.88443319535963,950.5436820032968,1.0958625975203322,7012.787922488894,2.9645840450411954e+21,2.2879466847295542e+39,0.046775921171346706,0.08005742673990407,0.005937886714772685,1.1038848144739273,0.9204580502950634,8.28769388481738e+35,1.6943774015183998e-05,1.3297629408873346e+37,2.842455056153338e+38,2.9837190441268888e+38,2163144.383548727,4.034361445976042e+40,0.5152647835597648,3.006366082821434,0.0,1.014751627434615e+20,0.0,0.0,0.0,0.0,0.0,0.0
15,16,202.5308,47.1916,1.238e+37,6.5098e+35,8.8101e+35,2.3271e+35,0.2773,0.5057,0.067012,0.017905,0.021217,0.045251,105.0053941868258,614.655886398153,0.7115289708353133,8844.7691214058,3.739035275158671e+21,7.59520016007076e+38,0.015528005365652329,0.051982311206180305,0.0011558163596844485,0.618740126407724,0.1791681997380465,2.751230801867353e+35,5.6247532327240485e-06,6.845928962295581e+36,5.532870890575042e+37,6.244976094823273e+37,718089.9221927237,2.932466679807467e+39,0.04741526987342042,0.5851925556411508,0.0,4.477011616882815e+19,0.0,0.0,0.0,0.0,0.0,0.0
16,17,202.5308,47.1933,2.1579e+37,1.1248000000000001e+36,2.1877000000000002e+36,3.0016e+35,0.8364,0.2581,0.06,0.01588,0.0096924,0.035693,105.03165133215134,633.015791924259,1.0985671816434055,8688.20080375861,3.6728476274519274e+21,1.3238838792743693e+39,0.027066141178143103,0.08025803866660135,0.003486205565236469,0.9757349448623924,0.5404121249942377,4.795541960702391e+35,9.804244750319242e-06,1.0760240955029412e+37,1.6688399613692628e+38,1.7812379128802592e+38,1251669.0170433589,1.5997784637608018e+40,0.21755778484904573,1.7650741202245173,0.0,7.775356285473748e+19,0.0,0.0,0.0,0.0,0.0,0.0
17,18,202.5308,47.1939,1.5023e+37,7.8677e+35,3.3236000000000005e+36,4.67e+35,2.0691,0.2174,0.041996,0.0087973,0.0058854,0.023016,105.04091856002134,639.4957586006032,1.4416868776754943,8633.956855278051,3.649916555532612e+21,9.216695638509129e+38,0.018843071454619945,0.10532524559901037,0.008624232346999975,1.1625134007918818,1.3368803536891167,3.338589687920294e+35,6.8255789834582686e-06,1.420973276926259e+37,4.12840359166564e+38,4.273839509046186e+38,871394.5800566467,7.969873881726765e+40,0.9708268830258538,4.3664692278294455,0.0,1.2229368368486615e+20,0.0,0.0,0.0,0.0,0.0,0.0
18,19,202.5308,47.2077,1.7143e+37,8.962e+35,1.8463e+36,1.5638e+35,0.9318,0.1441,0.070321,0.013176,0.011216,0.031504,105.25406480829878,788.5349985591795,0.7659195839313716,7559.388478833336,3.195653814476668e+21,1.0517327652996205e+39,0.021502148302373007,0.055954530449602795,0.003883843072318677,1.0072718557336262,0.6020516715323178,3.809721295348305e+35,7.788783898916667e-06,8.62207696839238e+36,1.859188278340362e+38,1.949218769319634e+38,994363.1289297139,1.8892640269418536e+40,0.24096911127540058,1.9663989302070835,0.0,8.206814924225567e+19,0.0,0.0,0.0,0.0,0.0,0.0
19,20,202.5308,47.2083,1.4044e+37,7.3652e+35,1.9477e+36,1.3915e+35,1.3313,0.0949,0.063902,0.010966,0.010237,0.028829,105.26333203722665,795.0149659343091,0.6860776288135734,7521.360139771575,3.179577724840422e+21,8.616073590309672e+38,0.017615129834832093,0.05012160034310465,0.005549002234575933,1.0881388939475891,0.8601753491210288,3.1210246673202827e+35,6.38077822297064e-06,7.762325483154533e+36,2.6562967964740544e+38,2.7370410759729202e+38,814608.6322515841,3.5085479678808244e+40,0.4184244443773467,2.8094729510460295,0.0,9.809598954581456e+19,0.0,0.0,0.0,0.0,0.0,0.0
