ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Mass_g,Mass_old,L_Edd
26,202.53,47.1933,2.9881e+37,1.5539e+36,2.3308e+36,5.375e+35,0.4223,0.498,0.07357999999999999,0.016656999999999998,0.010837,0.041159,110.90273685576454,633.0074251872513,1.4023783094803226,4.127209944751381e+39,0.10246080576050902,,0.7134197176238417,0.1966498805884169,1.4950109130063358e+36,8.223389694567101e+36,5.1091450506242456e+35,9.906850546382266e+38
31,202.5292,47.1933,3.766e+37,1.9562e+36,2.2686e+36,3.5702e+35,0.014,0.2785,0.089811,0.017006,0.013093,0.048456,116.77382238347843,632.9991185919943,1.1917460489108045,5.201657458563536e+39,0.08707155523430274,,0.0539720552580002,0.006519295117778442,1.8842110700384388e+36,2.7262007038583803e+35,4.341769539811233e+35,1.0996156952410438e+38
32,202.5292,47.1939,2.8680000000000007e+37,1.4918e+36,2.3795e+36,3.646e+35,0.5197,0.253,0.067651,0.010187,0.010911,0.035706,116.78295686387798,639.4790853672662,1.0006615836177553,3.961325966850829e+39,0.07311050909583452,,0.7826755605454152,0.2420055480506755,1.434922291256039e+36,1.0120046469965714e+37,3.645610562234818e+35,1.2949206280818143e+39
36,202.5283,47.19,2.5093e+37,1.3063e+36,1.7893000000000002e+36,1.8802e+35,0.2804,0.1362,0.14514000000000002,0.02706,0.017965000000000002,0.06312100000000001,123.32896465359812,597.3500281559152,0.6133889421181089,3.4658839779005534e+39,0.04481552861245927,,0.578465173083636,0.13057216793036253,1.2554569405330471e+36,5.460190552584926e+36,2.234698766049583e+35,5.503235608261099e+38
37,202.5284,47.1933,3.377e+37,1.7549e+36,2.3556e+36,1.9218e+35,0.2457,0.0968,0.087039,0.014011,0.010718,0.045606,122.64490791605095,632.9908721383794,1.1358940019415027,4.664364640883978e+39,0.08299088335199939,,0.5400159354932821,0.11441362931701167,1.6895859754433905e+36,4.7844822352714576e+36,4.138289346619864e+35,5.1274131757565305e+38
38,202.5284,47.1939,2.7848e+37,1.4488000000000002e+36,2.4099e+36,2.2181e+35,0.5863,0.1201,0.07091499999999999,0.0091834,0.011505,0.037635,122.65397602276892,639.4708389629865,0.9457623233328551,3.846408839779006e+39,0.06909944987848879,,0.8152495661616344,0.27301876625382154,1.3932955358053758e+36,1.141693909051549e+37,3.445601561759426e+35,1.5478414629770954e+39
39,202.5284,47.1944,1.2745e+37,6.6972e+35,1.0853e+36,1.646e+35,0.5609,0.3021,0.039035,0.0043577,0.0096144,0.0218,122.66153277829329,644.8708113264622,0.7483896237677773,1.7603591160220997e+39,0.054678971683800544,,0.8026760735196453,0.26119090225442343,6.3765985362825024e+35,1.0922328391386896e+37,2.726533287318596e+35,1.3528196809875981e+39
40,202.5284,47.2072,2.1878e+37,1.1403e+36,2.2642e+36,1.8383e+35,0.8689,0.0954,0.093457,0.013724,0.010783,0.038225,122.854985727873,783.1101094309407,0.9833036681767484,3.02182320441989e+39,0.07184230208608164,,0.9418808935061616,0.4046153948455492,1.0946035525836691e+36,1.691996993987533e+37,3.5823721998292865e+35,2.773080594827629e+39
42,202.5275,47.19,2.1985e+37,1.1458e+36,1.6202e+36,1.6109e+35,0.3326,0.1294,0.12573,0.020047,0.016130000000000002,0.055149,129.20041524758443,597.3418490910605,0.6547810303076597,3.0366022099447514e+39,0.047839724494084836,,0.6380071394529071,0.15487982544093645,1.0999569934889824e+36,6.476673957880696e+36,2.3854984333569104e+35,6.665746857508017e+38
43,202.5267,47.1883,1.3721e+37,7.1987e+35,8.7184e+35,1.2771e+35,0.0982,0.2135,0.10727,0.022039,0.011735,0.042396,135.04657250340009,578.973824010815,0.6652828373683506,1.8951657458563534e+39,0.048607009331639514,,0.28697786406936776,0.04572819861184593,6.864912398299901e+35,1.9122350651349492e+36,2.4237586197873635e+35,1.5906074830078646e+38
