time,kappa_av_rp_135_300,kappa_f_rp_135_300,kappa_av_rp_135_100,kappa_f_rp_135_100,kappa_av_rp_100_300,kappa_f_rp_100_300,kappa_av_rp_100_300_z_010,kappa_f_rp_100_300_z_010,kappa_av_rp_chab,kappa_f_rp_chab
7.9,23588.85495008055,32572.030607707136,23588.79858170728,32571.95314047909,23389.465458908035,32269.489616945204,25948.594695451447,35657.3677526061,23576.304606005073,32549.734868437234
8.0,21449.948999263423,29765.815133999058,21449.97313580443,29765.844434129096,21333.791045991606,29581.866502660912,23040.856493084855,31824.276781495497,21440.84645529958,29749.104982480927
8.1,19123.317727552163,26705.146105936754,19123.528044771734,26705.423536482536,18872.109789581762,26336.975749426823,20042.043487957282,27858.573067246427,19099.067497083553,26667.93757036771
8.2,18486.184776934355,25908.068126950155,18486.116127663376,25907.978073353614,18391.701453174035,25750.735232517553,19636.832165671793,27401.769862524463,18478.979928035333,25893.68489062608
8.3,15964.077805371118,22536.232670279205,15964.04779012458,22536.194297497612,15851.518166567115,22357.165542887455,18089.297449991547,25400.78003797569,15954.724108224274,22519.547193338938
8.4,16146.769144591342,22859.89431948052,16146.7741968249,22859.899224352124,16033.742188962184,22680.63928544412,16200.08514469364,22870.75027193471,16143.357491842877,22851.28496901533
8.5,14363.072490953844,20475.850196766292,14363.058018825765,20475.828643255274,14239.254156780114,20284.236215728444,16459.039863709255,23329.76822752729,14345.320106133888,20448.201724543153
8.6,13403.940854628601,19206.9452952346,13403.977786340814,19206.996819720818,13243.460388589097,18964.248140591513,12999.276934938705,18570.79220582575,13387.026245105217,19180.24056121341
8.7,11718.077626909639,16834.984463176486,11718.103844381967,16835.02223695249,11481.004626707429,16485.18932752662,13093.098263509677,18777.478854969195,11683.797323883633,16784.062496389168
8.8,10943.589053540738,15760.55747766291,10943.626012062652,15760.611208355042,10813.337931764996,15567.867238599007,11609.653975801219,16704.509441448914,10926.95710693646,15735.689694082268
8.9,10344.91185162526,14918.240525105119,10344.904314219806,14918.228836663855,10194.716680257678,14694.418917375726,10815.554481673955,15589.944427399443,10323.412590228558,14885.996290939942
9.0,10395.644474259056,15014.112089275586,10395.627270563018,15014.086419653155,10233.295401926418,14770.678975136863,11270.588978045687,16291.781433032964,10371.181959735419,14977.348504792242
9.1,10779.383225834981,15614.496417290839,10779.3883340536,15614.504263881368,10637.071775386892,15400.017272426776,12686.494042015334,18410.26165163009,10757.958132974421,15582.13536081575
9.2,10932.056826432628,15863.24433678167,10932.046535677664,15863.229268807127,10805.355511215872,15673.88884456413,11088.971881088677,16070.317830982816,10924.351423728656,15851.620584485943
9.3,10089.344618069059,14602.47289821729,10089.338406157594,14602.463627727218,10076.081593256033,14581.789713204373,10604.523599597725,15363.423247474038,10086.60042425492,14598.051004306093
9.4,10113.69071075498,14648.416916156042,10113.69348449273,14648.421053310585,10090.145367271072,14613.253417121703,10433.150544448546,15122.130726948035,10113.744467697608,14648.486746020822
9.5,9890.170525406322,14320.333564570412,9890.17251843885,14320.336488426172,9886.158053747677,14314.612152583213,10287.669585837302,14913.261468986198,9892.382919639604,14323.490909343684
9.6,9789.05007182279,14173.43425431124,9789.05119528166,14173.435932164488,9786.186430375094,14169.214499985746,10195.107957338529,14781.699675148659,9793.29393725528,14179.681610915763
