ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um
71 202.5194 47.2172 2.6513e+37 1.3796e+36 3.1053e+36 3.3687e+35 1.0644 0.1459 4.4651e-02 7.3406e-03 7.2699e-03 2.8104e-02
72 202.5186 47.215 1.5914e+37 8.3264e+35 1.6701e+36 1.4778e+35 0.8909 0.1137 4.4051e-02 8.0948e-03 7.2780e-03 2.4699e-02
73 202.5186 47.2155 1.707e+37 8.9215e+35 1.7343e+36 1.6942e+35 0.8398 0.1307 4.2308e-02 7.9087e-03 7.4257e-03 2.4461e-02
74 202.5186 47.2161 1.5995e+37 8.3678e+35 1.3078e+36 2.066e+35 0.4966 0.2324 3.7314e-02 6.7714e-03 7.3343e-03 2.2424e-02
75 202.5186 47.2166 1.7186e+37 8.9811e+35 1.7101e+36 2.5499e+35 0.8069 0.2254 3.7402e-02 6.1125e-03 7.0253e-03 2.3767e-02
76 202.5186 47.2172 1.2579e+37 6.6113e+35 9.5463e+35 1.9653e+35 0.3788 0.3959 3.0383e-02 4.2596e-03 7.3759e-03 2.0841e-02
77 202.5177 47.1683 1.1709e+37 6.1661e+35 2.2312e+36 4.1521e+35 1.8332 0.2763 6.0763e-02 9.5206e-03 6.3745e-03 2.4191e-02
78 202.5177 47.2072 1.4847e+37 7.7764e+35 9.7848e+35 1.9655e+35 0.1561 0.3027 4.8484e-02 1.4209e-02 8.5193e-03 2.9022e-02
79 202.5178 47.2111 1.1226e+37 5.917e+35 1.0052e+36 1.5291e+35 0.6402 0.237 3.5926e-02 8.0399e-03 5.5760e-03 1.8432e-02
80 202.5178 47.215 1.57e+37 8.2156e+35 1.8974e+36 1.8849e+35 1.1139 0.1278 4.4601e-02 7.4997e-03 5.9550e-03 2.4374e-02
81 202.5178 47.2155 1.3369e+37 7.0166e+35 1.2697e+36 1.3107e+35 0.7332 0.1443 3.8191e-02 6.1851e-03 6.1945e-03 2.1550e-02
82 202.5169 47.1683 1.2503e+37 6.5735e+35 1.5358e+36 2.0407e+35 1.1396 0.1988 6.2056e-02 9.1091e-03 6.4424e-03 2.5428e-02
83 202.5169 47.2111 1.0227e+37 5.4057e+35 1.114e+36 1.8779e+35 0.9498 0.2614 3.1632e-02 6.5526e-03 5.1774e-03 1.6627e-02
84 202.5161 47.2055 5.068e+37 2.6298e+36 3.355e+36 2.1193e+35 0.1631 0.07 7.9412e-02 2.5405e-02 1.4496e-02 5.9195e-02
