ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,L_Edd,Mass_old,Mass_new,Mass_g,Momentum,tau,Sigma_g
1345,202.4662,47.2128,8.5903e+37,4.4532e+36,5.75e+36,6.6918e+35,0.1805,0.2212,0.021583,0.0036518,0.012605,0.030659,579.2488538347708,843.1328791904502,2.501971305132592,1.1865055248618784e+40,0.18279945873418027,7.193215558518972e+39,9.11518256094464e+35,4.297912468122996e+36,3.5148516217602685e+36,0.45009769470465505,0.0840523406256435,0.0011748036306328366
1346,202.4662,47.2133,6.6542e+37,3.4509e+36,4.3359e+36,4.7074e+35,0.1381,0.1949,0.020976,0.0033402,0.015029,0.031239,579.2521101296986,848.5328554431073,1.9573535353331983,9.190883977900552e+39,0.14300850136703747,5.095802086812796e+39,7.131030949184683e+35,3.329239857209182e+36,2.689202265734588e+36,0.37507562247253823,0.06430818969751449,0.0008988386780631288
1567,202.4605,47.1778,1.1306e+37,5.9579e+35,6.7859e+35,2.161e+35,0.0083,0.8077,0.03365,0.005639,0.009946,0.019986,620.8646279328051,465.11088766128813,1.257958529150431,1.5616022099447518e+39,0.0919091828779219,6.3540414666551904e+38,4.5829948664003205e+35,5.656635782754804e+35,1.616247560144611e+35,0.03184085507044663,0.0038650106769686477,5.40214411869947e-05
1621,202.4597,47.1783,1.944e+37,1.0143e+36,1.2262e+36,6.6438e+35,0.0868,1.0726,0.048204,0.0078616,0.01063,0.027807,626.7402370563452,470.50778053062965,1.7432059855170998,2.6850828729281772e+39,0.127362416172004,2.191689467484404e+39,6.350848535602095e+35,9.726251513953069e+35,1.690244436392196e+36,0.2685395776445172,0.040419629730226336,0.00056494711988327
1662,202.4588,47.1633,1.9605e+37,1.0229e+36,1.254e+36,1.8977e+35,0.1087,0.2982,0.029009,0.003600800000000001,0.0079697,0.020003,633.2647374663695,308.505100512307,1.1342840779265453,2.707872928176796e+39,0.08287325880613282,2.4968095909653283e+39,4.132424070996805e+35,9.808804574642485e+35,2.1167001179243279e+36,0.3142505148230762,0.050617669950179765,0.0007074856213284727
1668,202.4588,47.1811,1.4956e+37,7.833e+35,8.9487e+35,3.3630000000000005e+35,0.0033,1.0299,0.047742,0.0059218000000000005,0.0095811,0.024048,633.3624475149328,500.7442482133994,1.389628882477869,2.065745856353591e+39,0.10152930492737057,6.389743304134685e+38,5.06269633459125e+35,7.482809549520683e+35,6.426044516237611e+34,0.01400348225052093,0.0015366909920477758,2.1478404327359337e-05
1692,202.4589,47.2328,2.309e+37,1.2035e+36,1.3827000000000002e+36,1.391e+35,0.0046,0.1776,0.046529,0.0068318,0.0094082,0.0297,632.9129060694441,1059.1021920680337,0.9218853653299968,3.189226519337017e+39,0.06735494745746283,7.612151732048846e+38,3.3586130216632284e+35,1.1552425280718948e+36,8.957516598391821e+34,0.019638893850555384,0.0021420541101272025,2.993959391086453e-05
1694,202.458,47.1561,1.1463e+37,6.039e+35,6.9962e+35,1.4391e+35,0.0346,0.532,0.027099,0.0043625,0.0076815,0.017513,639.1004171345908,230.74247591631425,0.7659737489134236,1.5832872928176798e+39,0.0559637060659832,8.480332221659179e+38,2.790595776983548e+35,5.735186270804734e+35,6.737610310964282e+35,0.12803751770060082,0.016111972219652437,0.00022519781506867665
1819,202.4458,47.2272,2.982200000000001e+37,1.5508e+36,1.8327e+36,3.8529e+35,0.0455,0.3344,0.040047,0.0099334,0.01029,0.033114,728.9597466358632,998.5815470438948,1.3647104909476229,4.119060773480664e+39,0.09970871311046564,1.7507912888934626e+39,4.971913643575833e+35,1.492059015684714e+36,8.860152287539736e+35,0.15363067345005882,0.021187709132779942,0.00029614163542268174
1824,202.4449,47.1589,1.6834e+37,8.8002e+35,1.0572e+36,2.8353e+35,0.0798,0.5241,0.043211,0.00783,0.0074687,0.024746,735.3168585508757,260.94249468030375,1.1963912503485026,2.3251381215469606e+39,0.08741094374238854,1.8720945980514246e+39,4.358692938992558e+35,8.422413476640223e+35,1.5539344011992764e+36,0.24819795715522364,0.03715998217133712,0.0005193868682797803
