planar_aged_5pc_1Myr,spherical_aged_5pc_1Myr,planar_unaged_5pc_1Myr,spherical_unaged_5pc_1Myr,planar_unaged_20pc_1Myr,spherical_unaged_20pc_1Myr,planar_unaged_50pc_1Myr,spherical_unaged_50pc_1Myr,planar_unaged_10pc_1Myr,spherical_unaged_10pc_1Myr,planar_unaged_5pc_10Myr,spherical_unaged_5pc_10Myr,planar_unaged_10pc_10Myr,spherical_unaged_10pc_10Myr,planar_unaged_20pc_10Myr,spherical_unaged_20pc_10Myr,planar_unaged_50pc_10Myr,spherical_unaged_50pc_10Myr,planar_unaged_5pc_100Myr,spherical_unaged_5pc_100Myr,planar_unaged_10pc_100Myr,spherical_unaged_10pc_100Myr,planar_unaged_20pc_100Myr,spherical_unaged_20pc_100Myr,planar_unaged_50pc_100Myr,spherical_unaged_50pc_100Myr
100.0,372562.969540666,100.0,555849.537199071,100.0,100.0,100.0,100.0,100.0,100.0,555923.4107675995,950911.8470513868,555927.4853721582,727225.5589439223,555943.7827763347,100.0,556057.8191884395,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5928.86792110814,484508.5835498385,66930.22396193643,653836.6490387699,66935.72567094715,100.0,100.0,100.0,66931.3244019703,443359.6434898554,630269.6832660764,1113374.8386669827,630274.8662615225,883042.5993567634,630295.5955200501,100.0,630440.6465693965,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,256319.37935303943,100.0,486624.4653729069,100.0,100.0,100.0,100.0,100.0,100.0,111800.04024870557,891960.5710018066,111801.54722129149,100.0,111807.57458432345,100.0,111849.74259615887,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,47357.71802641665,100.0,272486.01282799203,100.0,100.0,100.0,100.0,100.0,100.0,100.0,567685.7106739172,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,30524.544091802247,100.0,323409.2593501963,100.0,100.0,100.0,100.0,100.0,100.0,100.0,696073.4083264018,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,306514.45448882156,100.0,495071.4810470421,100.0,100.0,100.0,100.0,100.0,100.0,356839.3386057098,864400.1270219695,356842.20021997386,618736.1770338481,356853.64283313183,100.0,356933.71212718583,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6332.459392769083,301327.9933578658,77600.41732219397,444554.65869592555,77605.59656854725,100.0,100.0,100.0,77601.45324159926,347188.8372988103,452938.6268066757,744300.0072384647,452942.10754971486,643117.0877158097,452956.0296412198,100.0,453053.4448651532,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,126650.01292594094,100.0,344708.05045714264,100.0,100.0,100.0,100.0,100.0,100.0,100.0,659401.2039893533,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,231542.84252323303,100.0,394930.72692775447,100.0,100.0,100.0,100.0,100.0,100.0,248047.24668062406,687668.6801223713,248048.80360349608,516153.74316999776,248055.03098850214,100.0,248098.60905336708,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,423757.0692357405,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
