,ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,Sigma_g,Momentum,tau,Mass_new,Mass_g,Mass_old,L_Edd,v_inf
18,19,202.5308,47.2077,1.7143000000000004e+37,8.962e+35,1.8463e+36,1.5638e+35,0.9318,0.1441,0.07032100000000001,0.013175999999999998,0.011216,0.031504000000000004,105.25406480829878,788.5349985591795,0.7659195839313716,2.367817679558011e+39,0.05595974865472867,0.006064720349161646,0.9600965112830424,0.43390565648185375,8.577012844840403e+35,7.257925188157825e+37,2.2323187544845886e+36,1.201546134941177e+40,0.0
19,20,202.5308,47.2083,1.4044e+37,7.3652e+35,1.9477e+36,1.3915e+35,1.3313,0.0949,0.063902,0.010966,0.010237000000000001,0.028829,105.26333203722663,795.0149659343091,0.6860776288135734,1.939779005524861e+39,0.050126321968390716,0.008664908994246509,1.0574316379407964,0.6199383993070314,7.026516268619182e+35,1.036968856299046e+38,1.9996145678527093e+36,2.191668565649141e+40,0.0
20,21,202.5308,47.2089,1.0003000000000001e+37,5.2934e+35,1.5969e+36,1.3683e+35,1.5535,0.1282,0.055264,0.0090006,0.009375,0.025648,105.27259926593314,801.4949333563758,0.6492672464047384,1.3816298342541438e+39,0.04743687546421644,0.010111121552288709,1.0936471163683639,0.7234089261049151,5.004716764098382e+35,1.2100436552697123e+38,1.8923284914356395e+36,2.8678227849332245e+40,0.0
21,22,202.5309,47.2205,1.2233e+37,6.449e+35,1.6131e+36,1.5778e+35,1.2518,0.1298,0.021200999999999998,0.0049005,0.0049867,0.017003,104.7182561341736,926.7753645080948,1.1180064141410837,1.6896408839779003e+39,0.08168397732902906,0.00814747470817831,1.04114143138412,0.5829181163167896,6.120433887355344e+35,9.7504515459712e+37,3.258497025380712e+36,1.9942031850891204e+40,0.0
22,23,202.5309,47.2222,3.3933000000000003e+37,1.7665000000000002e+36,3.207700000000001e+36,2.1773e+35,0.7259,0.1033,0.023441999999999998,0.0072712,0.0070015,0.027044,104.74453679536758,945.1352759623143,1.3834888381511539,4.6868784530386745e+39,0.101080699950477,0.0047245980912818605,0.8891808283517746,0.33802545185681226,1.697741217196345e+36,5.65414025980228e+37,4.032261538701749e+36,8.317416587441427e+39,0.0
23,24,202.5309,47.2227,6.1358e+37,3.1863000000000004e+36,1.1859e+37,1.2754000000000001e+36,1.8557,0.1359,0.038072,0.01081,0.0080376,0.043422,104.752266401756,950.5352500398924,2.6608587996137607,8.474861878453038e+39,0.1944081242417363,0.012078022700085069,1.142240237036887,0.8641325678615326,3.0698731501704334e+36,1.445431613185713e+38,7.755233220339459e+36,4.1297685965103496e+40,0.0
24,25,202.5309,47.2233,2.345e+37,1.2250000000000001e+36,6.3379e+36,3.7271e+35,2.3853,0.0447,0.016888999999999998,0.00403,0.0050729,0.019247999999999998,104.76154192953652,957.0152190074066,1.2359340707155608,3.2389502762430944e+39,0.09030002809962824,0.015524981164257644,1.196745897601272,1.1107481888883517,1.1732541049495857e+36,1.8579447254038277e+38,3.6022042826000424e+36,6.214533283171964e+40,0.0
25,26,202.53,47.1933,2.9881e+37,1.5539e+36,2.3308e+36,5.375e+35,0.4223,0.498,0.07357999999999999,0.016656999999999998,0.010837000000000001,0.041158999999999994,110.90273685576454,633.0074251872513,1.4023783094803226,4.127209944751381e+39,0.10246080576050902,0.002748584893164802,0.7105977038098854,0.1966498805884169,1.4950109130063358e+36,3.2893558778268403e+37,4.0873160404993965e+36,3.741097172701433e+39,106996.73615898805
26,27,202.53,47.1939,1.9464e+37,1.0157e+36,2.8290000000000004e+36,4.6559e+35,1.4054,0.2921,0.048473,0.008688799999999998,0.0069821,0.025725,110.9119377097348,639.4873919131658,1.2905177351971473,2.6883977900552487e+39,0.09428802920199633,0.009147196800506309,1.069092245288343,0.6544440970375588,9.738259231871529e+35,1.0946864197721625e+38,3.761291660005002e+36,2.4562821478983006e+40,0.0
27,28,202.53,47.2072,1.3884e+37,7.2825e+35,1.6926e+36,1.3388e+35,1.1277,0.1289,0.057254,0.011120999999999999,0.007397499999999999,0.024611,111.11588998333336,783.1266601916631,0.8678719183613345,1.917679558011049e+39,0.06340860768530643,0.0073397565333221575,1.0150333167132826,0.5251292217370536,6.946464815829445e+35,8.7838186678317e+37,2.5294649732081e+36,1.6552552359886076e+40,0.0
